#{"t_start": 1701297009.902444, "env_id": "None"}
r,l,t
319.189468,189,2.317803
2478.755887,938,9.187438
851.656573,372,12.230333
1408.625919,525,16.271497
3384.58152,898,22.738208
1022.737054,327,25.439982
158.85259,59,26.308659
2108.857346,794,34.832904
272.055136,152,36.444628
1142.343664,570,41.14707
1009.663953,386,45.578261
1589.341168,509,51.261677
863.285869,308,54.667608
294.46397,127,56.264375
1825.446306,737,62.8787
3395.653596,871,70.443658
1595.274661,656,77.71227
1675.866188,617,83.0879
1649.104888,546,88.312973
2469.658794,696,94.014724
874.363518,334,97.161316
439.435606,155,98.796945
135.640522,53,99.683575
1046.893825,284,102.591827
1267.725718,457,106.619281
1430.449692,546,111.123312
1356.633656,369,116.277536
1220.881471,534,120.637883
1007.775682,474,124.399858
450.314656,195,126.338685
408.256656,154,127.930458
3128.933053,1001,135.489289
929.795192,476,139.599262
292.442359,148,141.418397
778.345634,234,144.25812
944.607246,366,147.704691
181.253408,53,148.635204
2130.786512,647,156.159096
2378.629844,1001,164.555692
471.571685,304,167.253479
810.742539,274,169.620182
2687.954117,1001,176.948616
367.948917,220,178.831579
1058.292201,451,182.470846
1153.832396,451,185.969504
691.384576,280,190.306904
272.306564,104,191.550579
762.493973,347,194.348097
1194.377907,431,197.757979
1267.528977,412,201.136944
400.184589,111,202.419559
519.611012,251,204.562815
916.262064,360,207.46705
272.131009,92,208.558161
249.797879,88,209.651245
517.059481,255,211.947106
3145.745316,1001,219.724308
717.022359,432,225.298424
1048.835658,404,228.541749
1147.296931,403,231.681399
1107.249792,418,234.991563
59.467573,17,235.57898
311.144348,161,237.220591
1381.866906,425,240.516777
772.061087,262,242.7887
1252.62381,573,247.233821
3118.9168,1001,254.718811
1861.552442,718,262.129041
1116.91362,484,265.789253
1019.175045,369,268.847075
449.218096,192,270.702144
1795.607205,663,275.882335
1318.390396,411,279.485739
894.580611,322,282.137647
2507.742965,612,286.861018
343.000788,162,288.407887
791.019712,240,290.511266
2854.753846,1001,299.839319
2407.111201,986,307.051034
247.911249,153,308.634836
2626.509706,801,314.466248
461.737197,232,316.511776
1690.20609,681,321.584214
3134.558917,1001,331.053889
2032.099682,1001,338.545732
668.651486,193,340.383816
1197.590978,502,344.20664
3298.283795,1001,351.437322
114.768198,40,352.194296
2335.468892,973,361.422649
1193.300348,314,364.053613
103.303366,52,364.892371
622.10908,391,368.060903
3159.584091,1001,375.289619
385.698504,175,376.968173
1300.930973,470,380.711168
1769.737711,703,385.877359
542.943788,285,388.268963
3067.720894,890,396.889942
3103.718742,1001,404.575371
2881.174291,1001,412.03643
727.423265,238,414.09692
310.934521,119,415.384478
699.022684,248,417.637454
809.890163,224,419.610182
1022.036815,342,422.345898
217.862213,111,423.614508
181.94396,70,424.634778
3158.366618,1001,434.018694
1771.887334,666,438.846794
1773.216605,604,443.459466
1766.282653,888,450.116661
1412.8925,461,454.062115
579.929539,276,456.60435
2372.151106,1001,465.884576
955.886198,475,469.628563
691.11486,282,472.014194
352.574951,137,473.408502
978.621007,273,475.766238
2893.142475,1001,483.314084
2289.420844,1001,490.683357
884.514108,379,493.700289
988.592564,480,499.487815
1562.575718,442,502.875753
2473.229839,1001,509.95388
2188.460404,1001,517.251365
105.520509,39,518.003355
623.168564,273,520.52561
1117.579341,425,523.951449
1268.806548,545,528.193111
2412.553027,924,537.253986
1220.986298,318,539.873981
562.819259,231,541.837728
1418.509086,537,545.942751
1603.990123,697,551.166781
1694.452155,690,556.333963
1630.545153,643,561.039384
1856.804229,728,568.54232
299.359825,92,569.693245
1211.723287,471,573.32753
133.711745,54,574.194212
2234.483478,1001,581.932561
956.91863,609,586.573153
2337.788519,1001,593.909024
994.714778,424,599.432229
1983.615039,827,605.519108
1563.584784,732,610.778929
1266.806018,516,614.843066
1377.816803,407,618.074424
363.603464,218,620.061139
1187.688929,435,623.423127
1635.995315,599,627.977945
64.697105,29,628.64516
441.385652,164,630.30173
41.602115,23,630.940023
1783.764393,754,638.853867
772.103961,283,641.259436
223.973093,89,642.387417
853.320787,283,644.812931
1634.629486,466,648.459182
751.634713,277,650.925585
381.915215,127,652.25503
978.737665,397,655.41462
216.489296,63,656.335157
395.829246,89,657.392332
3063.304554,1001,664.564198
204.141752,83,665.606457
180.444368,74,666.546943
2661.033988,1001,675.807229
734.942195,222,677.773937
1167.716735,528,681.779264
3308.394025,1001,689.086732
2482.915322,1001,696.399186
1067.528355,426,699.828044
781.508135,266,704.307079
125.980211,45,705.145836
661.470821,288,707.549409
1846.44378,590,712.090275
452.805497,289,714.512804
2423.255877,1001,721.772437
1904.137278,744,727.302648
3120.936151,1001,736.927908
1774.349881,1001,744.197505
1222.837459,369,747.150638
1096.862815,350,750.13067
1158.41621,272,752.426543
1035.665199,384,755.61805
1135.582734,496,759.550531
1166.505214,384,762.856766
2638.315426,1001,772.470065
339.255347,157,774.034884
2514.722272,1001,781.27851
1001.293867,373,784.344311
1124.247229,394,787.517825
2453.90387,851,793.782079
952.509521,418,797.07926
1015.507393,394,800.288684
2159.570145,798,808.293289
525.919994,325,811.008021
168.63904,132,812.378357
664.818397,215,814.273296
2302.922641,1001,821.591764
1392.869578,417,824.906873
280.432691,85,825.979009
2146.516232,1001,833.480984
385.468185,165,835.102684
2521.036856,1001,844.701066
2291.491499,1001,851.938755
1086.816474,432,855.3756
1824.738105,649,860.380226
2702.610579,825,866.386169
1727.848249,584,873.015442
694.060852,259,875.236502
2649.137339,1001,882.506064
298.986339,93,883.606123
1247.816025,251,885.896996
1793.277279,561,890.27328
460.163506,194,892.146302
703.6713,242,894.276575
1838.869431,656,899.393891
2959.216401,1001,908.831684
2671.821443,978,915.869905
2264.676653,714,921.243498
3101.802671,1001,928.612791
231.241724,176,930.287315
1526.357986,842,936.569514
1823.643917,562,943.044202
1776.511903,569,947.905207
779.62351,208,949.782217
2598.023084,733,955.319412
384.030985,156,956.853311
2109.231839,1001,964.013175
1600.853789,554,968.17704
923.093683,416,973.557652
1142.073304,484,977.459256
1476.458012,479,981.24513
2864.61839,1001,988.613461
1823.506788,940,995.650651
2688.727335,1001,1002.72876
2408.875452,1001,1012.113669
1695.248113,659,1017.133292
2197.63451,1001,1024.4986
2629.347486,1001,1031.930723
792.418592,324,1034.641481
96.575736,140,1036.064673
155.886625,81,1037.111873
2895.240893,1001,1046.243497
2305.756337,1001,1053.710504
2414.201988,796,1059.798432
1039.137953,320,1062.430472
753.155982,342,1065.198075
1127.502112,589,1069.652169
129.736627,51,1070.463046
703.825191,544,1076.786141
1114.946492,525,1080.746556
2907.48447,1001,1087.924367
1525.24231,789,1093.740816
1844.003128,1001,1101.151514
2422.623982,1001,1110.435665
495.660181,216,1112.390443
3139.10088,1001,1119.605155
2377.761258,813,1125.59222
2025.957819,1001,1133.448214
359.427138,115,1134.722806
2190.242454,1001,1144.042917
1025.539335,255,1146.256042
1310.407989,296,1148.748406
2844.357373,666,1153.760009
2934.990462,1001,1161.010654
1403.481268,668,1166.137948
1026.652628,281,1168.570474
992.831962,344,1173.361668
1500.881974,376,1176.493291
759.812971,262,1178.784203
582.268377,216,1180.733988
1751.862667,449,1184.227643
2518.589731,594,1188.759527
550.716439,228,1190.814068
664.751245,215,1192.75189
943.95315,346,1195.512508
825.215973,257,1197.683706
2336.052458,1001,1207.07959
123.821691,53,1207.891421
402.07613,196,1209.75045
3478.199996,1001,1217.194584
691.83202,189,1218.971831
3192.132507,1001,1226.272352
713.665662,169,1228.070548
2662.525857,1001,1235.731103
1448.506964,376,1238.855829
1018.441822,253,1243.453531
1919.323485,510,1247.425916
2612.658163,970,1254.503029
1017.323212,501,1258.304869
2212.465102,786,1264.371677
837.724436,348,1267.267903
835.208834,463,1270.932105
3169.044772,887,1279.782485
163.641461,58,1280.687066
715.871224,180,1282.457377
807.614834,391,1285.713632
719.698927,260,1287.944665
3204.016877,1001,1295.457592
3462.322433,1001,1302.633457
3131.782926,1001,1312.543996
2324.311433,1001,1320.030322
431.794567,109,1321.5383
78.27263,36,1322.271344
1537.834322,644,1327.045615
1593.460191,537,1331.061946
682.871786,284,1333.466487
162.121111,73,1334.430914
765.406877,156,1335.967803
906.617207,247,1338.089135
2165.521229,479,1341.765309
1348.840931,501,1347.672515
160.564967,81,1348.689833
918.606863,383,1351.739639
371.023313,171,1353.421142
1263.799049,418,1356.690437
3612.822895,1001,1364.092649
3587.336675,1001,1371.476909
1097.777789,356,1374.390116
1388.01032,401,1379.823594
1740.217457,404,1383.011116
427.151777,95,1384.128128
1048.414326,279,1386.49085
1358.076819,1001,1393.848434
1276.847195,269,1396.121356
2846.618788,845,1402.425508
2335.655879,1001,1409.996752
1597.202673,1001,1419.524284
1066.146849,354,1422.520277
2865.442547,911,1429.17751
2281.280632,1001,1436.396215
2121.051334,503,1440.165136
2404.547091,865,1448.569664
2433.785782,936,1455.308642
1011.510694,352,1458.220898
1172.6427,294,1460.666364
2331.66046,1001,1468.018742
3141.267464,1001,1475.416954
2811.865468,1001,1484.902605
3860.655127,822,1491.002295
2910.823084,1001,1498.758557
3470.208686,1001,1505.851591
2748.823778,802,1513.792403
890.47428,275,1516.089302
3372.452226,1001,1523.408691
2677.219911,1001,1530.719145
1988.969267,832,1536.935533
2859.486274,910,1545.791261
1253.439825,341,1548.552876
