#{"t_start": 1700428884.0182917, "env_id": "None"}
r,l,t
0.0,12,1.099824
9.09205,18,1.822892
0.0,11,2.49567
0.0,10,3.179835
0.0,14,3.928833
0.794398,21,4.65866
0.0,12,5.302974
0.0,12,5.92332
0.0,10,6.535833
0.0,13,7.186765
0.0,10,7.784675
0.0,11,8.411232
0.0,13,9.052482
2.83046,19,9.75863
0.0,11,10.4807
0.0,12,11.208756
0.0,14,11.935775
0.0,14,12.61097
0.0,9,13.255286
0.0,12,13.908521
0.0,11,14.558798
0.0,11,15.237038
0.0,12,15.861366
0.0,10,16.475723
0.0,12,17.11106
0.0,17,17.781238
0.0,11,18.458502
0.0,12,19.100791
0.0,12,19.723091
0.0,11,20.38037
12.236954,20,21.096461
0.0,11,21.725744
0.0,10,22.374048
0.800872,18,23.059216
5.057722,18,23.76041
1.493316,15,24.421654
0.0,11,25.047982
0.0,13,25.691262
0.0,11,26.326558
0.0,14,26.982771
24.343911,22,27.722912
0.0,10,28.339227
0.0,13,28.970623
0.0,11,29.580989
0.0,11,30.207733
10.090623,19,30.89596
0.0,12,31.531619
1.403008,16,32.209847
0.0,11,32.816401
1.690963,13,33.465701
0.0,10,34.076062
0.0,13,34.702435
0.0,11,35.329789
0.0,11,35.948106
0.0,12,36.579463
0.0,13,37.234716
0.0,10,37.840096
0.0,11,38.470411
0.0,10,39.06678
0.0,10,39.665211
0.0,13,40.330485
0.0,10,41.032609
0.0,12,42.024001
0.0,10,42.705187
0.0,12,43.362466
0.0,11,44.049625
0.0,11,44.694866
0.0,12,45.386096
2.592984,15,46.053959
0.0,11,46.659376
0.0,11,47.335561
0.0,12,48.008842
0.0,11,48.654083
0.0,11,49.300389
0.789671,14,49.966725
0.0,12,50.749598
0.0,10,51.534525
0.0,14,52.373315
0.0,11,53.109352
23.382267,33,54.176533
0.0,14,54.976402
2.503543,16,55.824136
0.0,10,56.623033
0.0,11,57.408968
0.0,10,58.166905
0.0,19,59.002668
0.0,13,59.778663
0.0,11,60.410972
0.0,13,61.04923
0.0,10,61.639739
0.0,13,62.294983
0.0,13,62.964107
0.0,11,63.566535
0.0,14,64.208781
0.0,11,64.857332
0.0,10,65.466702
0.0,10,66.078033
0.0,12,66.700392
0.0,10,67.322177
0.0,11,67.934879
0.826918,16,68.597398
0.0,13,69.242632
2.089334,18,69.933788
0.0,18,70.612968
0.540356,14,71.27125
0.0,10,71.888984
0.0,11,72.525285
0.0,14,73.166568
0.0,10,73.761094
0.0,13,74.410438
0.0,13,75.05074
0.0,11,75.652998
13.13598,20,76.375211
0.0,11,77.005602
0.0,12,77.624912
0.0,11,78.277224
0.0,12,78.948402
0.0,12,79.654543
1.357686,14,80.469332
0.0,13,81.174534
0.0,10,81.842724
4.085785,14,82.535015
0.0,13,83.217155
0.7286,14,83.902357
0.0,15,84.603452
0.0,14,85.251755
6.813651,18,85.927595
0.345871,15,86.624729
0.0,14,87.323148
0.0,15,88.023277
0.0,13,88.673043
0.0,11,89.452015
0.0,12,90.237897
0.0,10,90.973989
0.0,13,91.75891
0.0,15,92.615661
0.0,11,93.437442
0.0,16,94.237332
0.0,12,95.03519
0.0,12,95.779251
0.0,11,96.533232
0.0,10,97.266274
0.0,12,98.025216
0.0,12,98.765272
0.0,9,99.48439
0.0,14,100.24435
0.0,12,100.915555
0.0,12,101.549894
0.0,12,102.203168
0.0,12,102.828439
0.0,12,103.466771
0.0,9,104.057239
0.0,13,104.682563
0.973678,15,105.358896
0.0,11,105.989768
0.0,11,106.598359
0.0,11,107.222726
0.0,16,107.90756
2.644472,13,108.558791
0.0,11,109.176174
0.0,10,109.788544
0.0,11,110.424119
0.0,12,111.05103
0.0,11,111.654413
0.0,10,112.292701
0.0,10,112.889282
0.0,11,113.510697
0.0,12,114.145314
0.0,11,114.762663
0.0,10,115.37606
0.0,11,116.016347
0.0,11,116.631742
0.0,12,117.275065
0.0,11,117.892888
0.0,11,118.527195
0.0,11,119.170475
0.0,12,119.788822
0.0,12,120.421235
0.0,13,121.068479
0.0,12,121.698645
0.0,11,122.329996
0.0,12,122.953323
0.0,11,123.625522
0.0,12,124.415414
0.0,12,125.083627
0.0,13,125.726544
1.521911,14,126.408407
0.0,17,127.089242
0.0,10,127.688602
0.0,11,128.327958
6.044645,18,129.024064
0.0,11,129.862144
0.0,13,130.974174
0.0,12,131.971537
0.0,12,132.620802
0.61922,15,133.27808
0.0,10,133.908394
0.0,11,134.565706
0.0,10,135.187049
0.644591,16,135.852268
0.0,12,136.499537
0.0,16,137.197673
0.0,13,137.824956
0.0,10,138.432558
0.0,13,139.076404
0.0,10,139.674847
1.211589,17,140.371979
0.0,12,141.010275
0.0,13,141.646622
0.0,9,142.251034
0.0,10,142.839229
0.0,10,143.453794
2.38279,15,144.114034
0.0,11,144.806222
0.0,11,145.437039
0.0,12,146.069324
0.0,15,146.712512
0.0,11,147.327865
0.0,12,147.966188
0.695587,13,148.611509
0.0,12,149.232844
0.0,11,149.831254
0.0,13,150.482281
1.03082,20,151.188394
31.64012,34,152.015501
0.0,10,152.62185
0.0,11,153.247079
0.0,11,153.846511
0.0,10,154.45289
0.0,13,155.09717
0.0,11,155.703509
0.0,10,156.356799
0.0,10,156.947408
1.440572,16,157.643548
0.0,12,158.262922
0.0,12,158.872295
2.347338,14,159.530479
0.0,10,160.136333
0.0,10,160.75568
0.0,13,161.398996
0.0,12,162.045231
0.0,12,162.65361
1.637467,14,163.296897
0.0,9,163.886355
7.23158,22,164.620958
0.0,12,165.24382
0.0,12,165.849278
0.0,12,166.490564
0.0,16,167.166831
14.191331,22,167.881917
0.0,11,168.514333
0.0,12,169.144614
0.0,12,169.753889
0.0,13,170.394531
