#{"t_start": 1700653090.57775, "env_id": "None"}
r,l,t
3317.132007,1001,5.154598
3383.377084,1001,10.020713
2931.192457,1001,14.851785
3189.610526,1001,19.711754
3260.383068,1001,24.564778
2965.937696,1001,29.409802
1223.050125,440,31.777358
3263.114589,1001,36.635451
994.673918,390,38.79671
1833.263913,669,42.178712
3755.083886,1001,47.062646
3161.158808,1001,63.310666
1129.298379,314,72.176722
361.535653,149,77.699958
2027.337743,594,97.681706
643.552681,235,105.122494
262.121144,148,110.28976
211.722274,74,113.07631
412.333423,173,118.536299
390.031829,152,124.04767
607.293964,183,130.450553
188.026537,45,132.477134
433.851013,176,138.416861
132.169784,41,140.229047
422.268323,143,144.838993
622.766106,230,151.574032
1065.787688,307,161.112075
629.351278,216,168.191147
943.516679,295,177.913454
111.452124,40,179.629865
203.439652,71,182.438382
809.736536,288,191.733674
377.968314,145,196.199121
607.190461,188,201.926444
257.827703,118,205.608607
233.603335,85,208.413108
376.914465,170,213.33667
359.693981,159,218.029128
964.440821,375,228.720547
738.062424,293,237.122079
137.315093,47,238.845507
510.904075,208,244.948151
766.891768,251,252.257613
731.915486,254,259.511269
401.97758,124,263.372944
797.933879,272,271.757535
55.274124,26,272.913652
727.022414,266,280.446548
316.243063,114,284.03695
681.269745,206,290.132663
529.764463,193,295.65091
390.314742,104,298.899921
401.160091,120,302.969042
685.637654,186,308.914158
209.663842,62,311.043463
1027.707433,323,320.285758
358.97871,124,324.044712
658.420442,179,329.248794
98.95611,23,330.405534
1068.867896,345,339.94802
777.081477,264,347.337261
420.67974,131,351.226051
141.845284,49,352.986352
227.953972,91,355.840722
196.694975,53,358.006926
218.66526,97,361.43779
505.843223,161,366.813426
216.652443,77,369.496257
389.235825,107,372.907315
175.970524,54,374.992739
173.242031,70,378.319886
417.099665,113,382.336159
292.708806,142,387.208134
486.240284,166,392.614682
1262.547197,382,404.090032
681.795918,306,414.142598
216.479447,94,418.558831
184.820365,75,422.046505
424.008636,129,426.137724
258.700832,91,429.128842
288.546377,91,432.156757
297.446888,118,435.949681
191.509496,87,438.904273
431.569442,105,442.351056
694.381028,183,447.841383
506.668654,156,452.490324
160.272547,50,454.309779
94.870449,31,455.617345
529.71211,224,462.173819
223.28812,85,464.907682
123.415104,47,466.641052
424.792013,134,470.6937
397.140114,113,474.178197
2585.179157,1001,501.361331
866.552413,312,510.26494
268.017609,97,513.331736
610.176094,183,519.033634
1559.401383,442,534.701472
2862.046721,1001,564.30021
226.506984,86,567.306213
373.281924,108,570.782957
315.858873,99,573.957475
1223.422526,412,585.609743
1483.571339,493,599.32508
558.840142,131,603.296013
463.174055,128,607.22377
627.731653,202,613.157901
726.885522,228,619.618777
352.931865,86,622.490802
500.42681,199,628.27338
498.217114,188,633.814415
608.556208,170,638.812975
465.727277,208,644.90217
215.660348,80,647.521611
236.007531,73,649.91322
274.643153,72,652.343622
429.239267,140,656.972523
123.548386,35,658.712868
374.741567,147,663.757173
308.938019,94,667.267126
707.693799,225,675.495184
357.003359,167,681.115905
850.503615,264,688.864244
583.049042,209,694.909085
263.962783,71,697.294744
240.873867,64,699.548022
340.086842,112,703.122872
1462.507753,466,716.005473
143.86449,64,718.292434
1241.524126,396,730.326017
739.235518,168,736.635342
127.617691,43,739.210563
539.99844,136,745.985467
528.137567,178,754.57495
803.258862,337,769.681711
435.623003,151,778.499255
852.999206,274,790.784111
309.919738,146,798.312984
269.685559,101,804.342373
484.118845,174,812.514458
723.81792,345,827.851769
249.256734,102,832.087443
469.422974,143,837.00729
313.102695,121,841.027877
520.065229,161,846.00557
556.346165,208,852.557056
828.624157,375,864.316631
698.938458,231,870.927999
626.363907,205,877.276027
643.2114,269,887.230446
884.91061,272,896.520631
541.512365,244,904.747756
574.025669,235,911.958493
217.070282,62,914.209477
278.99899,86,917.390971
691.913558,196,923.829755
1592.132614,485,938.675076
219.467023,75,941.303504
193.832631,76,943.81576
157.318863,52,945.720732
358.388578,149,950.281593
382.861323,84,953.070168
242.557996,83,955.8019
312.424714,148,960.104401
1572.387794,422,973.164526
508.795171,212,979.903536
407.783874,148,984.389555
1387.166261,316,993.35559
1628.88523,404,1005.215949
2313.388332,678,1027.681123
585.946693,187,1033.46727
2072.299788,714,1053.059949
881.087606,262,1060.523463
899.267367,263,1068.111006
798.23892,327,1078.444846
584.785548,227,1085.45733
310.972378,121,1089.129355
1325.369382,434,1101.646287
2866.014494,1001,1145.844221
304.498001,95,1150.647865
902.133973,367,1169.22054
1377.767051,508,1193.029683
937.559718,388,1211.705813
925.024334,292,1227.487473
4078.921544,1001,1255.061754
1203.498786,406,1266.370588
1704.752641,588,1283.211059
1158.50845,378,1294.298632
364.004516,93,1297.336561
377.800685,112,1300.760442
176.260444,73,1303.204402
226.336712,58,1305.239909
419.960127,119,1308.968966
1085.961544,394,1319.900866
375.614735,101,1323.021303
541.081733,201,1329.874748
2046.419843,616,9939.965617
257.181344,78,9942.736208
529.775609,132,9947.09
391.923885,132,9951.688975
874.671935,237,9958.813677
