#{"t_start": 1700918315.6371446, "env_id": "None"}
r,l,t
4991.769272,845,4.68093
6359.270711,1001,9.642921
5119.924975,693,13.214766
6140.214484,1001,18.237394
7062.418526,1001,23.525863
4349.863575,744,27.325467
2248.45686,467,29.858354
5932.264412,1001,34.780146
3585.755828,651,38.144163
4731.471604,711,41.799047
6326.419338,923,46.412856
6284.852831,1001,52.193719
5133.99927,812,75.534223
922.517957,148,80.15488
4663.714219,708,103.905808
728.990683,120,109.387161
1796.838724,281,118.85776
1487.169649,304,128.39668
301.504594,49,130.578844
245.814138,52,133.025512
999.598296,171,139.470419
303.501391,67,141.989575
342.02598,55,144.335211
284.730305,42,146.33187
546.764751,119,150.378067
929.839412,178,156.499092
425.673732,76,159.382354
586.306928,110,163.345923
1048.952973,190,169.750922
757.177689,145,174.320336
1655.792558,302,186.383632
2373.784159,427,199.096649
302.287974,53,201.235294
353.919695,77,204.001464
1421.529929,260,211.608115
400.664838,70,214.177268
224.318555,42,215.872195
961.722035,199,221.874574
1765.981569,352,232.207148
1035.433771,221,238.791569
517.800743,101,242.133905
1343.594933,223,248.810055
76.078926,12,249.669025
2790.170988,421,262.009164
476.908125,63,264.23083
1286.99067,234,271.179911
1311.098149,214,277.608607
667.070023,99,280.844457
592.524112,91,283.912928
1065.046592,175,289.170645
3002.551906,513,304.142868
2057.507829,358,314.551037
2208.382078,445,327.626163
1116.210402,201,333.757383
1284.636747,220,340.461091
168.485866,28,341.884285
2456.179748,373,353.275038
1038.06497,142,358.100778
1445.821197,229,365.49505
202.641049,30,366.916386
6935.419378,1001,402.068085
453.789955,52,404.662147
331.175082,49,407.457488
962.962926,162,414.388131
832.144866,133,420.190291
854.25256,155,425.374177
225.972349,42,427.262231
1128.651582,198,433.591708
692.572001,82,436.587541
3584.670445,503,452.024316
4073.945872,664,471.946025
1238.175331,153,476.941267
6424.99794,938,504.976347
719.975069,129,509.351525
2142.246405,338,519.815575
598.976345,123,523.966518
2989.183274,466,538.12596
3605.617156,615,556.378694
3659.20271,592,580.724552
1669.486528,250,590.157991
3036.019226,509,607.052845
674.999066,113,611.233807
4850.835267,840,643.323039
