#{"t_start": 1700957747.5430837, "env_id": "None"}
r,l,t
2442.886865,1001,5.54493
2015.23787,818,9.766405
3233.560893,1001,14.773891
2966.680036,1001,19.890661
3734.223368,1001,25.099079
2778.031971,1001,30.1862
224.864825,64,30.998495
2213.382282,905,35.737672
2800.154097,1001,41.195139
2860.11059,1001,46.825274
3355.82582,1001,52.233205
2189.000464,975,85.851497
1601.429716,642,108.010249
99.613848,51,110.080024
243.69775,94,113.585763
195.356454,93,117.306072
72.704875,35,118.946861
117.91044,37,120.759834
140.164519,48,122.822125
212.213305,84,126.014735
75.573937,24,127.294353
197.392095,98,130.955796
512.282602,242,138.981386
424.293915,157,144.495644
481.65171,223,151.965678
275.305177,135,156.635239
294.385964,167,162.647166
169.265239,55,164.98691
138.939173,100,168.846597
362.621937,85,171.702758
255.807522,140,176.163832
150.726715,70,178.985287
244.851047,138,184.52053
585.937652,214,191.867958
1735.372629,526,208.74387
810.874955,261,217.123832
1248.910986,625,237.133693
640.675104,309,248.035433
333.491233,148,253.557095
491.277499,180,260.371947
197.031505,82,263.625278
315.891597,66,266.242618
1252.528619,326,277.069464
457.481525,128,281.390907
1781.94657,662,302.342976
246.279511,176,309.404681
270.197175,128,314.070781
420.15262,163,319.612126
1212.372159,270,328.742164
439.132302,168,334.926653
910.794701,247,345.08251
316.368157,173,350.972758
1656.281615,571,371.259646
154.963867,39,373.387032
341.672927,178,380.047741
564.054095,287,390.602123
174.768773,66,393.528299
1993.074232,546,412.07453
1248.556732,325,422.681667
290.58441,166,428.419091
201.660716,73,431.075204
799.732085,306,440.713513
556.095581,268,452.841086
239.482633,116,457.207409
292.963056,85,460.320127
1151.93274,542,478.78186
209.266844,79,481.883618
132.488918,57,484.34005
220.351225,77,487.391902
478.049395,178,494.465958
320.391972,115,499.416272
224.536289,100,503.734117
156.700352,60,506.421369
228.461645,101,510.252251
321.641844,87,513.728965
118.633233,41,515.516269
81.637422,40,517.222669
756.913423,227,525.114355
504.345531,190,532.686935
502.667938,223,540.726449
132.093402,63,543.167751
984.963492,295,552.544107
1661.008468,729,574.654073
152.825995,98,578.098951
2625.804464,1001,607.416572
360.889509,87,610.360555
371.309472,155,615.398684
749.890421,301,625.369335
597.098687,251,633.617885
273.237908,101,637.041646
901.830029,430,650.737086
761.967116,325,660.724691
417.67584,201,667.530741
1901.352768,1001,699.982889
1766.702434,849,725.672268
447.905379,194,731.80088
491.154168,247,739.969035
167.966789,106,743.828142
161.82644,85,747.160172
2211.390467,715,771.294287
299.530093,136,775.923875
1031.005563,339,785.948581
248.511233,162,790.774314
452.518076,173,796.240917
308.977999,178,801.586639
824.249614,391,813.025483
480.714952,206,819.15545
413.539866,193,825.191784
578.153271,226,831.942577
604.602392,330,841.476775
591.925792,203,847.604389
186.012437,123,851.501966
673.848792,298,860.345317
1165.208878,378,871.075634
169.815529,98,874.319989
810.309237,317,883.600216
245.659137,133,888.021434
207.556642,93,891.064888
797.377747,250,898.478477
213.079461,63,900.726637
597.267955,245,907.856592
1232.773099,461,921.148124
410.099795,242,928.30106
922.479772,304,937.250127
294.396815,114,940.814669
840.214909,334,950.448729
614.533736,254,957.9308
3486.429006,1001,986.09289
337.277376,123,989.997453
564.443926,224,996.640923
738.019172,203,1002.666781
580.449021,246,1010.247552
800.167154,210,1016.564845
475.56976,126,1020.657054
555.464289,249,1028.008399
194.463096,52,1029.922835
335.600954,105,1033.315368
348.73654,185,1038.865674
1771.466925,456,1055.53475
325.70266,111,1059.466243
594.288575,187,1065.113164
225.744913,59,1067.246463
1004.105011,374,1078.434162
1085.623877,358,1088.910194
833.116069,214,1095.356937
1236.159938,336,1105.131176
1618.760958,416,1117.13184
416.158917,140,1121.545411
1111.254481,387,1132.901862
686.351409,308,1142.218954
259.778754,111,1145.785431
355.10576,111,1149.375719
179.161008,82,1152.236802
265.867557,122,1156.061574
23.330512,29,1157.427159
950.273795,329,1166.780287
2153.820393,550,1182.313124
385.782362,107,1185.725098
1406.241475,450,1198.551343
958.033819,304,1207.414594
537.426271,150,1212.010904
851.496487,368,1222.84026
1667.353141,453,1235.934611
317.805,137,1240.359774
313.995209,143,1244.972568
169.762166,93,1248.114196
501.016063,200,1254.117117
151.222506,103,1257.528639
339.847798,126,1261.461163
484.438405,175,1266.869696
497.863577,280,1275.075382
365.839609,161,1280.115672
612.186312,267,1287.962726
105.253019,50,1289.864639
606.054585,227,1296.693415
193.176421,98,1299.956536
110.076228,41,1301.530379
609.842782,340,1311.428138
1624.386848,698,1331.18296
380.826316,148,1335.795624
328.793879,123,1339.584335
319.536701,194,1345.308747
759.980714,293,1353.888374
428.602399,170,1358.90008
870.036159,293,1367.5456
409.362932,313,1376.518921
269.436666,161,1381.459292
312.293401,185,1386.915369
864.734464,356,1397.19139
708.744269,324,1406.361495
2546.614838,1001,1434.364996
588.222436,161,1439.319818
3228.465795,757,1460.428478
129.831053,33,1461.854665
1834.844946,397,1473.413796
781.845647,197,1479.406769
115.858094,28,1480.702308
96.43222,25,1481.882613
2544.983057,734,1502.691118
719.893133,243,1509.800155
405.878783,105,1513.212032
1627.547099,579,1529.852574
1000.220963,354,1540.206893
