#{"t_start": 1701053499.0155997, "env_id": "None"}
r,l,t
6184.242467,1001,5.565992
4522.871227,1001,10.311149
4270.806394,1001,15.009881
4934.776475,1001,19.731136
6093.574291,1001,24.469109
4671.454212,1001,29.180484
4284.341063,1001,33.915229
4675.845305,1001,38.634628
1344.558362,305,40.374051
4418.186066,857,44.510263
4681.658318,1001,53.31525
4623.729573,1001,81.470424
977.316882,214,87.831415
1371.772214,285,96.036051
225.157287,30,97.364509
475.855285,93,100.466367
951.175632,190,106.091174
192.551793,39,107.635456
2062.562066,385,118.789486
1710.65664,252,126.238936
2101.933683,308,135.298742
251.220291,52,137.29431
654.309934,157,142.174692
596.083818,116,145.893748
186.129822,42,147.547689
212.505785,32,148.934337
752.593964,145,153.443519
357.630068,51,155.328485
1094.75816,156,160.223613
511.717252,92,163.338695
517.103878,97,166.542455
356.270163,91,169.618485
1999.688684,369,180.440172
3826.201351,731,201.139886
3061.154853,534,216.788461
2402.227086,347,226.889418
401.68853,78,229.659014
1390.772587,309,238.648975
745.647093,150,243.232893
2611.442306,483,257.321215
4024.267527,883,282.622396
326.539384,55,284.636163
195.728283,35,286.133646
372.352381,74,288.756854
341.538149,61,290.988377
345.451842,51,292.898621
1743.629254,384,303.986058
2076.626534,560,320.190577
2335.958808,484,333.893509
241.479755,38,335.467611
582.532966,107,338.925366
3712.838276,664,357.753951
503.837093,89,360.690208
730.065066,156,365.677878
2658.716343,541,384.71211
867.087035,152,389.467393
567.736411,98,392.689775
477.335737,90,395.792699
591.085155,124,399.721272
368.400612,90,402.696151
1385.200872,296,411.445665
892.946941,196,417.329499
2811.203065,562,433.052695
1311.780122,310,442.234702
1970.954894,439,454.595625
371.170465,77,457.183746
1751.58433,376,467.91919
693.852723,138,472.176879
331.407437,64,474.422878
322.796676,57,476.391932
1304.436154,215,482.817704
276.613413,62,485.093619
481.431601,71,487.597238
192.709345,24,488.766212
683.581803,88,491.681253
1321.766914,261,499.157446
1040.426562,125,503.107866
874.919587,119,506.865166
583.45572,73,509.405253
2425.614714,440,521.884715
496.547199,78,524.434308
1407.647978,238,531.436583
124.763431,23,532.563139
3523.680658,694,552.043879
2036.877321,283,560.589623
943.18849,111,564.276765
631.467014,122,568.109396
186.43452,23,569.293386
422.797795,52,571.18732
164.04584,23,572.346947
333.33671,34,573.806044
297.659708,34,575.21332
371.607494,40,576.798877
456.297844,66,579.15945
247.657884,32,580.576714
1337.467627,255,588.078815
1347.497662,197,593.940399
350.916588,51,595.877254
995.90283,175,601.135121
707.745835,108,604.48904
1145.101937,141,608.879302
406.796356,58,610.961303
510.69771,79,613.563384
171.009418,23,614.695318
1126.239407,295,623.337152
3844.157792,697,643.014823
505.897967,85,645.749084
1228.097423,210,652.014631
145.86764,39,653.59077
167.135573,25,654.833487
707.45915,110,658.323682
1178.109478,247,665.495508
117.64095,22,666.610527
304.545909,55,668.61754
147.606491,22,669.765597
373.54224,44,671.470028
725.46713,150,676.036928
825.903061,130,680.047679
481.74732,79,682.702931
864.605995,133,686.904768
562.089409,101,690.309497
805.643922,126,694.217476
1847.62884,372,707.432154
628.121093,95,711.173149
680.660918,99,714.934091
580.96094,91,717.990961
1372.488011,215,724.391799
124.245505,22,725.552984
2017.870964,330,735.024325
1451.875154,259,742.652664
1520.308761,298,751.37245
577.207283,129,755.408654
825.183684,124,759.346997
986.864757,186,764.74163
275.026156,54,766.697279
1605.495896,248,774.075268
1436.284923,215,780.339843
303.947051,55,782.437806
178.8793,25,783.651011
1069.207056,183,789.239809
450.909671,114,792.849167
1090.101384,198,798.604775
517.458488,122,802.458843
829.340795,238,809.386368
622.258955,156,814.190003
264.090503,62,816.454314
364.315133,105,819.788438
361.119293,109,823.262066
426.960839,105,826.656994
400.928686,114,830.211644
173.593724,37,831.750947
223.171912,38,833.369651
665.046337,114,837.025933
1293.517637,248,844.293317
391.839501,77,846.925955
1068.791541,179,852.264421
1257.150258,256,859.759418
344.337584,58,861.881675
954.940429,113,865.367783
742.29995,153,870.01138
2992.435755,832,893.179203
1866.174536,391,904.500118
3304.237668,842,927.845096
1757.714328,372,938.422055
1625.484528,341,948.209916
1300.797629,373,958.731767
744.671005,228,965.569059
367.827647,115,969.220636
1357.636073,306,980.475344
630.651231,158,986.21001
4077.115729,881,1010.805239
738.309411,91,1013.805228
3310.822617,1001,1041.480541
4863.832101,1001,1069.177438
1402.415951,410,1080.846279
2115.950831,537,1095.906286
2050.82309,443,1108.369518
570.13561,175,1113.545555
481.146609,72,1115.965715
364.506046,53,1117.867563
2011.800423,466,1130.856571
1681.123224,188,1136.333855
978.348191,224,1143.066235
547.172118,74,1145.632535
2173.124711,309,1154.442726
996.014665,241,1161.415624
2671.985374,610,1178.615885
1949.513598,367,1189.018073
704.433167,191,1194.720832
3084.807852,685,1213.840635
2821.186912,555,1229.358867
2431.449363,427,1241.301067
4597.283535,1001,1269.020311
1569.985994,311,1278.128305
2252.95679,470,1291.239115
