#{"t_start": 1700602785.8321967, "env_id": "None"}
r,l,t
0.0,1001,5.423408
0.0,1001,10.455181
0.0,506,13.222226
1.624663,311,15.081333
3.327581,1001,19.945413
0.0,86,20.771706
0.0,1001,25.724327
0.0,1001,30.704613
0.0,161,31.899158
2.049725,1001,36.855281
0.0,1001,41.75904
0.0,1001,46.76317
0.0,1001,53.160097
0.0,494,65.123875
0.0,1001,89.206452
0.0,301,96.28859
0.0,255,102.249666
0.0,130,105.510949
0.0,43,106.879291
0.0,64,108.639586
0.0,196,113.407884
0.0,101,117.010256
0.0,141,121.436427
0.0,57,123.887628
0.523784,168,131.291852
1.194509,108,135.478685
0.0,105,140.15199
0.0,94,144.735397
0.0,88,147.852313
0.0,172,154.548001
0.0,142,160.247802
0.0,154,165.936507
0.0,168,172.393366
0.0,148,178.905963
0.0,406,192.755152
0.0,50,194.984717
0.0,805,219.588055
0.0,254,227.226742
0.0,352,239.192273
0.0,165,245.733557
0.0,960,278.424626
0.0,116,283.219815
0.0,82,286.831164
0.0,694,310.383397
0.0,1001,345.525665
0.0,610,365.065288
0.0,338,376.42795
0.0,761,400.012286
0.0,218,406.612644
0.0,357,418.048159
0.0,558,436.447972
0.0,576,455.167447
0.0,72,457.827653
0.0,130,462.637685
0.0,46,464.865739
0.0,242,474.138972
0.0,332,486.194079
0.0,153,491.596906
0.0,284,501.564459
0.0,373,515.774535
1.678508,111,520.482268
0.0,107,524.694057
0.866772,224,531.559694
0.0,141,536.218258
0.0,295,546.27153
0.0,137,551.192424
1.078784,158,556.697716
0.0,141,561.842007
0.0,306,571.907188
0.0,141,576.871975
0.0,341,588.384057
0.0,89,591.848021
0.0,154,597.273565
0.0,196,604.177308
0.0,84,607.436591
0.0,224,615.762053
1.161827,618,636.418183
0.0,75,639.289753
0.0,86,642.648254
0.0,160,648.986499
0.0,145,655.723504
0.0,128,660.634427
0.0,63,662.944689
0.0,177,668.865862
0.0,153,673.94131
0.0,132,678.776387
0.0,50,681.022385
0.0,162,687.074242
0.0,78,690.302615
0.0,152,695.789958
0.0,152,700.89336
0.0,374,713.206471
0.0,132,718.025
0.0,402,732.979387
0.0,220,741.960494
0.0,967,779.965206
0.0,169,785.734781
0.0,162,791.421586
0.0,134,796.078476
0.0,375,809.277014
0.0,912,842.538955
0.0,367,856.977995
0.0,519,875.575963
0.0,111,879.350051
0.0,324,890.109929
0.0,102,893.634549
0.0,119,897.877214
0.0,871,925.728807
0.0,241,933.628833
0.0,1001,964.010679
2.5557,339,975.728378
0.0,539,993.960991
0.993839,936,1023.211565
0.0,549,1041.163421
0.0,103,1045.050528
0.0,84,1048.230031
0.0,80,1050.913043
0.0,565,1069.188956
0.0,165,1077.242745
0.0,1001,1124.115609
2.209757,465,1148.683308
0.0,157,1166.081459
0.0,107,1178.261909
1.663366,251,1199.613849
6.285588,91,1206.290009
11.623636,88,1212.953193
0.0,85,1217.875043
0.0,77,1221.240216
2.991908,499,1240.189849
0.0,91,1243.94496
0.0,267,1254.027005
0.0,387,1268.827182
0.0,600,1291.493738
0.0,551,1313.184043
0.0,104,1317.541778
0.0,158,1323.255563
0.0,42,1325.236977
0.0,56,1327.676048
0.0,183,1334.687238
0.0,115,1339.112466
0.0,676,1362.256996
0.0,129,1366.702958
0.0,138,1372.496012
0.0,101,1376.75502
1.007072,500,1394.828808
0.0,427,1410.507126
0.0,79,1413.850796
0.0,80,1417.088038
0.0,331,1429.016855
0.0,307,1440.68403
0.0,601,1461.534332
0.0,324,1472.08945
0.0,100,1476.051761
0.0,75,1478.960203
0.0,72,1482.00108
0.0,70,1484.949212
0.0,126,1489.715472
0.0,19,1490.867396
0.0,79,1493.968845
0.0,77,1497.07359
0.0,100,1500.849356
0.0,112,1505.111952
0.0,59,1507.962376
0.0,67,1510.736936
0.0,112,1514.943426
0.0,483,1531.500243
0.0,197,1538.699939
0.0,169,1545.113306
0.0,285,1555.752379
0.0,64,1558.807262
0.0,206,1568.74731
0.0,404,1584.385493
0.0,49,1586.319324
0.0,394,1599.949008
0.0,61,1602.716829
0.0,97,1606.64437
0.0,142,1612.326549
0.0,79,1615.113144
0.0,141,1619.740883
0.0,135,1624.085778
0.0,462,1637.19277
2.687829,874,1660.811659
0.0,1001,1688.512643
0.0,184,1694.011981
34.344407,244,1700.929524
11.741629,689,1720.067449
14.204315,929,1748.687071
0.0,77,1751.866604
1.35915,223,1759.706731
0.0,371,1772.016491
0.403921,239,1780.067849
10.344496,989,1811.938804
0.088558,335,1824.659867
0.0,78,1828.116333
6.440356,107,1832.431604
0.0,204,1839.541644
0.0,158,1845.215383
0.0,118,1849.251901
1.513621,30,1850.681727
0.0,104,1854.095662
0.0,232,1861.382923
4.192335,313,1870.665132
0.0,83,1873.428372
0.0,425,1885.671718
0.0,294,1894.072386
0.0,63,1896.272995
0.0,558,1911.623967
0.074851,212,1917.74707
0.0,227,1924.404277
0.0,58,1926.464376
0.0,236,1933.538771
0.0,112,1937.577196
0.163521,129,1941.87668
0.0,165,1946.952522
0.0,78,1949.516641
0.0,143,1954.647359
0.0,545,1971.737896
0.0,171,1977.106586
0.0,259,1984.442258
3.214433,93,1987.483128
0.0,113,1990.99819
0.0,213,1997.283419
0.0,199,2004.415332
0.0,199,2011.310966
0.0,70,2014.274538
0.0,607,2034.541029
3.152408,168,2039.609481
0.0,51,2041.578218
0.0,35,2043.269544
0.0,40,2045.208369
0.0,25,2046.62164
0.0,124,2051.288183
0.0,167,2057.162579
0.0,29,2058.593659
0.0,88,2061.707943
0.0,39,2063.618985
0.292534,505,2081.277241
2.266976,121,2087.212906
0.0,48,2090.214095
0.0,31,2092.476812
0.0,58,2095.912663
0.0,219,2106.927362
0.0,72,2110.883823
0.560941,190,2120.433308
1.538244,109,2126.37044
0.0,85,2130.782657
0.0,84,2135.224786
0.0,107,2140.97242
0.0,316,2155.855322
4.411231,159,2161.279068
0.0,347,2171.934639
0.0,220,2178.407386
0.0,35,2180.039713
0.0,304,2189.821591
3.254707,101,2193.494774
0.414499,840,2217.042295
0.0,208,2223.146273
0.0,142,2228.020575
0.0,568,2244.575363
1.439546,292,2254.702377
0.0,134,2259.657188
0.0,782,2284.746883
