#{"t_start": 1700791309.8020234, "env_id": "None"}
r,l,t
3569.519227,1001,5.448486
3394.888867,1001,11.215092
2166.64289,1001,17.491356
2580.819,1001,23.069675
2265.396395,1001,28.134491
2424.855333,1001,33.283787
2348.62363,1001,38.265128
2199.657009,1001,43.364055
1228.609166,452,45.845386
3189.575975,1001,51.236179
543.934535,226,53.271775
2859.773458,1001,78.138846
1662.304211,712,98.907645
896.387657,395,110.280685
520.863289,221,116.897379
248.697194,135,121.03787
547.191371,211,127.357046
402.538829,224,133.800055
1172.298026,518,148.521899
221.737975,90,151.509867
354.41811,148,156.139036
232.292314,62,158.318233
360.776411,170,163.502901
394.582183,186,169.193804
369.07672,106,172.653327
635.24251,278,180.70426
83.895119,38,182.249066
49.042729,20,183.313356
3250.121929,1001,211.878112
232.417872,119,215.790503
3151.430949,1001,244.174335
83.159806,27,245.42328
722.699513,234,252.331838
881.220931,359,262.5643
510.074855,246,269.732048
2618.371512,774,291.550219
433.593068,238,298.587894
2102.260192,610,315.860586
1181.38586,449,328.377927
438.996907,181,333.733733
685.019468,315,343.32042
661.205421,349,355.151113
277.027827,160,360.966573
375.31536,210,367.533071
810.889351,314,376.517356
752.144721,301,385.080413
173.540665,91,388.023543
755.071099,390,398.973313
227.996615,91,401.942673
100.73238,77,404.51306
254.181526,98,407.720569
647.179412,251,416.002339
144.608168,73,419.743372
174.28338,78,423.458482
363.201001,180,429.778334
185.250834,127,434.487221
655.541465,352,444.908416
126.211244,73,447.771631
299.793708,158,453.285943
220.482127,100,457.125872
455.288864,209,464.989873
893.603246,349,476.210245
131.133684,68,478.783377
240.162064,84,481.584926
561.491395,189,487.600635
130.98686,117,491.348615
125.605046,37,492.917844
670.041112,235,500.126162
1033.900156,464,514.842687
589.70151,354,526.290381
946.013442,364,537.159509
741.908756,296,545.773893
524.711252,143,550.382863
482.724039,151,555.054166
822.237699,324,564.604851
420.618969,141,569.040146
283.322374,131,573.102098
762.193582,328,582.401731
841.592803,345,592.252586
1795.750188,732,613.659632
664.524147,319,625.265553
187.124202,73,627.88375
90.830848,28,629.202965
578.552805,191,635.035375
182.948961,60,637.21249
177.716312,55,639.308727
728.323583,279,647.337268
1785.088295,803,670.056573
1472.496657,854,694.286824
394.886873,130,698.395193
571.222587,329,707.750766
886.367725,352,717.877537
443.706774,174,723.046871
542.374359,264,730.758001
702.159653,295,739.36014
532.385039,249,746.733428
473.000182,324,755.942612
834.098991,364,766.395715
2563.043093,1001,795.05763
1438.518111,454,808.15568
1507.17146,688,827.091056
1163.331298,487,840.913221
320.306407,146,845.32044
457.135886,162,850.364144
434.771012,179,855.744646
1111.724118,500,869.902472
646.993873,258,877.375704
625.721667,164,882.310514
706.371741,276,890.393902
332.00214,90,893.30788
415.171962,143,897.693524
812.576881,234,904.630891
660.658368,286,913.031623
423.135903,198,918.898934
214.673432,69,921.242333
286.31168,92,924.233403
575.128326,185,929.830686
1446.012323,433,942.119005
193.725036,47,943.939316
319.372691,159,948.695116
1086.499215,362,959.182
149.733718,52,961.177204
437.917806,181,966.602988
304.743441,141,970.938531
359.453391,166,976.033074
2107.947212,675,994.824005
637.259223,150,999.311661
451.728327,132,1003.472224
1828.095853,557,1019.509417
1679.785008,529,1034.461115
314.89509,149,1039.020903
231.108124,54,1040.988705
644.264841,164,1046.022936
96.449113,25,1047.230907
1028.799134,297,1055.648652
235.224054,71,1058.146143
321.378308,168,1063.213578
1598.751733,513,1077.786047
161.290049,83,1080.458319
2822.471445,947,1106.713912
327.931983,103,1109.946811
541.212366,196,1115.904087
424.506763,203,1122.093615
864.100698,288,1130.5757
335.697675,76,1133.153881
1370.079025,515,1147.885559
1149.512204,418,1159.656052
1355.342006,492,1173.582272
1347.768945,357,1183.817156
320.269087,140,1188.102016
319.101035,124,1191.955632
782.08408,253,1199.42115
632.115765,390,1210.883874
1887.920313,886,1238.338491
837.336919,288,1246.752512
222.300915,97,1249.874635
1818.00394,830,1272.901426
157.183913,63,1275.120402
144.539013,56,1277.140491
334.348821,112,1280.66012
300.78022,160,1285.50577
338.962533,161,1290.344843
666.451318,231,1297.150059
327.875554,112,1300.751479
228.998031,110,1304.301726
246.014785,99,1307.396487
201.180532,74,1309.936875
56.541896,30,1311.230425
766.245374,322,1320.381158
471.412569,199,1326.234855
997.008908,376,1337.164051
2533.879184,762,1358.418023
696.358889,206,1364.478868
466.56952,178,1369.882146
1938.454786,538,1384.920042
954.454008,319,1394.071573
1474.506332,484,1407.6134
195.785859,87,1410.422727
885.564192,300,1418.950918
462.404056,180,1424.457324
429.613075,157,1429.256368
130.833236,40,1430.85223
3117.377575,1001,1458.550632
522.675107,199,1464.304853
2933.967747,1001,1491.888101
175.658157,110,1495.269022
2450.493012,961,1521.6761
131.201168,46,1523.423428
966.92726,315,1532.7157
1025.255605,357,1542.967555
826.900669,340,1552.693682
199.376472,116,1556.303351
100.076558,31,1557.681664
2409.928132,748,1578.666887
610.675305,162,1583.660509
495.740424,139,1588.04401
576.209629,225,1594.712668
901.794607,306,1603.605411
666.187951,246,1610.795039
796.163718,310,1619.785581
270.79755,109,1623.220351
692.925384,273,1631.03263
125.468226,41,1632.727618
333.338447,100,1635.916595
2583.911841,690,1655.389591
568.65239,229,1662.042481
901.729747,304,1670.791627
90.434575,42,1672.539334
48.57368,23,1673.661361
379.91599,132,1677.779117
48.985896,24,1678.944594
1243.621645,362,1689.157612
713.494271,273,1697.216435
758.291774,239,1704.401221
149.126194,85,1707.220622
934.690527,299,1715.796173
1221.996148,421,1727.735976
571.948628,184,1733.165887
723.128653,242,1740.374522
2625.316172,825,1763.339221
505.963612,243,1770.378013
244.649181,97,1773.437201
418.368492,212,1779.659158
981.264821,339,1789.481358
2368.142176,835,1813.83464
3136.474739,1001,1843.643939
819.983184,348,1853.847522
994.869306,394,1865.15571
297.468548,74,1867.714625
3861.931593,1001,1895.32496
1194.124676,298,1903.875954
600.745867,192,1909.495983
1125.625324,328,1918.961231
2479.096614,587,1935.165848
1379.556362,412,1946.975202
1934.003238,578,1963.43536
471.029968,117,1967.068906
469.221059,165,1972.032431
1408.849401,439,1984.418422
2488.44575,697,2003.821768
543.37202,192,2009.498269
518.901664,134,2013.671441
1543.892891,486,2027.391696
1324.58194,421,2039.604019
125.802658,55,2041.603261
1763.88477,526,2056.265805
1082.714636,397,2067.535971
1150.600172,343,2077.367737
467.038352,147,2081.943999
317.584719,137,2086.17668
72.54024,27,2087.485207
1055.001345,423,2099.490112
121.982612,43,2101.1907
243.145489,108,2104.615542
426.971523,150,2109.243047
453.634254,163,2114.170281
1633.061247,732,2134.837193
1061.190001,398,2146.268649
504.034545,255,2153.746708
868.986769,383,2164.640838
932.634402,342,2174.384602
1591.807787,604,2191.285728
312.790611,106,2194.748752
566.119164,244,2202.088583
190.511105,51,2204.033931
151.767568,49,2205.84755
110.578825,42,2207.564997
94.91,43,2209.259421
472.672994,250,2216.45926
204.63183,130,2220.563201
350.442452,185,2226.125262
208.660586,91,2229.055424
111.794326,75,2231.581375
700.362811,426,2243.602393
182.302528,88,2246.504599
178.135345,116,2250.155981
137.644293,205,2256.146851
77.020636,110,2259.623304
413.641647,265,2267.430211
295.821999,132,2271.49274
292.090908,200,2277.387249
808.37604,243,2284.428138
56.622864,68,2286.73442
605.0184,354,2296.896541
139.724709,33,2298.341911
891.640736,263,2305.809858
88.069935,38,2307.362749
203.632532,112,2310.899837
259.607609,252,2318.066181
697.894672,348,2328.036626
279.273211,93,2330.998705
41.256856,61,2333.223684
72.158728,52,2335.174443
133.301587,70,2337.690159
183.681068,115,2341.436013
296.878557,317,2350.630056
462.499778,240,2357.558852
266.021521,127,2361.482563
273.27105,151,2366.060501
101.598467,79,2368.751117
111.106508,233,2375.662816
1292.689996,775,2397.416334
530.239248,272,2405.344167
211.117751,93,2408.345532
416.875705,275,2418.934833
1235.329525,686,2439.012752
559.400836,150,2443.661766
924.311397,368,2454.197225
306.52066,156,2458.884764
1140.950937,604,2475.734153
672.264894,369,2486.254879
902.655375,781,2507.997892
799.025752,1001,2535.37148
1073.145076,618,2552.410811
136.657365,287,2560.588133
26.598459,171,2565.740906
668.987643,725,2586.017142
324.059723,857,2610.014308
31.336679,23,2611.151655
583.257035,793,2633.100433
196.126482,411,2644.932793
13.218996,278,2653.31176
141.488961,203,2659.349238
197.147057,289,2667.774492
323.629693,1001,2695.509109
163.879782,638,2713.512007
38.393686,221,2719.991828
164.39989,479,2733.528893
272.030048,711,2753.164982
99.841123,55,2755.146688
231.411753,271,2762.964623
44.951626,187,2768.633112
173.086199,1001,2796.268238
103.012898,214,2802.540509
244.044112,387,2813.513432
340.229025,882,2838.003562
382.324577,1001,2865.377223
46.36448,534,2880.161043
77.580059,359,2890.322869
333.555393,489,2904.22193
238.587415,558,2919.76582
129.340037,830,2943.154144
53.300412,35,2944.66212
214.510169,571,2960.797073
90.027107,855,2984.782918
13.053435,57,2986.84873
51.11307,226,2993.315499
39.771665,237,3000.278171
123.381269,611,3020.75942
154.669451,546,3036.133367
30.394671,310,3045.057285
10.381764,736,3065.546078
97.952478,625,3083.108164
26.918339,80,3085.726884
81.438469,110,3089.305253
34.33817,256,3096.832696
12.316767,215,3103.219709
156.598162,665,3121.585364
18.649149,563,3137.401047
148.292189,870,3161.171164
8.091081,401,3172.580659
45.933606,343,3182.488864
42.612712,266,3190.153372
84.769531,444,3202.57048
216.359821,1001,3229.871398
115.681444,966,3256.622138
31.542847,823,3279.272478
148.767107,337,3288.837545
17.812398,134,3293.045254
27.093733,253,3300.433243
148.751048,918,3325.830122
30.1244,213,3332.064711
27.780543,250,3339.351978
108.639765,241,3346.229467
52.257792,268,3353.891945
66.611136,486,3367.485713
34.59967,600,3384.298719
18.244914,134,3388.332921
143.477696,1001,3415.567755
71.677159,216,3421.871236
2.341205,250,3429.281376
20.415834,263,3436.858306
74.143663,251,3444.137574
89.348679,1001,3471.71567
29.234932,1001,3498.902932
2.297288,140,3503.431628
25.035339,149,3507.915133
9.511721,407,3519.319709
36.36625,93,3522.335676
1.212812,152,3526.970282
4.602025,140,3531.246714
25.952013,1001,3559.489688
81.025355,399,3570.712085
0.933775,102,3573.995212
20.897664,1001,3601.831487
0.0,371,3613.715301
22.010526,456,3628.540342
13.319987,1001,3655.961456
0.0,81,3658.690795
0.0,182,3664.085451
1.97743,899,3689.111813
1.436501,1001,3721.227407
24.722579,588,3741.584981
0.586451,389,3759.70768
18.823665,1001,3809.158384
14.131357,1001,3840.792371
4.725374,614,3858.215314
18.035405,167,3863.214634
11.822436,853,3886.612933
10.825988,1001,3914.40849
4.765695,645,3932.446275
2.445383,124,3936.492651
2.664741,333,3945.705985
2.175176,89,3948.672649
8.301912,63,3950.861796
12.666926,644,3968.599818
8.946866,165,3973.984463
3.434702,94,3977.079642
8.881327,238,3983.85321
12.784939,48,3985.671013
2.981832,321,3994.768951
3.69664,362,4004.913087
10.678949,395,4016.013322
0.0,309,4024.837389
1.337916,539,4040.01747
0.124654,586,4056.005691
2.508325,158,4060.717583
3.54456,1001,4088.44217
1.48391,112,4092.093236
25.033977,161,4096.798517
1.256292,407,4108.191359
1.518643,185,4113.685472
0.17204,402,4125.091975
3.621626,370,4135.578252
2.339186,113,4139.124803
0.102109,160,4144.132816
0.0,197,4149.925554
2.223973,364,4160.117313
5.807699,292,4168.486028
2.203835,133,4172.525289
0.705847,106,4175.834985
0.0,97,4179.07366
2.994542,750,4199.360924
2.201043,82,4202.091705
0.0,197,4207.898345
2.99794,454,4223.950885
3.811269,323,4233.407432
2.170888,416,4245.239801
4.943458,987,4272.197123
1.819255,254,4279.717202
2.782932,1001,4306.980935
3.74185,1001,4334.232116
0.0,181,4339.979747
0.0,538,4354.890972
0.888054,329,4364.077596
0.0,413,4375.832285
7.085358,724,4395.786098
0.772948,467,4409.331661
0.0,290,4417.517775
0.0,330,4426.684057
0.720561,205,4432.61529
0.0,1001,4459.845183
0.0,387,4470.588081
57.960493,511,4484.692127
0.0,231,4491.447085
0.0,937,4516.858469
1.910765,305,4525.45046
218.471382,697,4544.603178
3.024681,791,4565.922116
203.915363,1001,4593.105894
72.240488,1001,4620.700994
8.307041,906,4645.107627
115.32911,1001,4672.247255
0.0,867,4696.212151
0.0,75,4698.779445
1.364134,1001,4726.116047
3.617463,974,4752.857827
0.0,1001,4779.843808
0.0,1001,4806.835963
0.346595,1001,4837.422272
0.0,504,4851.334071
0.0,244,4858.270522
0.0,326,4867.606568
0.0,329,4876.848336
0.0,224,4883.216928
0.0,826,4905.533462
0.0,451,4918.218729
0.0,1001,4945.417011
0.0,494,4959.288124
0.0,103,4962.472765
0.0,250,4969.475863
0.0,431,4981.569856
0.0,455,4994.185063
0.0,1001,5021.877203
0.0,389,5032.865191
0.0,317,5041.937618
0.0,471,5055.150229
0.0,808,5077.099715
0.0,498,5091.167907
0.0,908,5116.251106
0.0,324,5125.364306
0.0,1001,5152.395698
0.0,197,5158.172287
0.0,821,5180.445534
0.0,1001,5208.07665
0.0,1001,5235.591224
0.0,733,5255.522943
0.0,376,5266.102488
0.0,364,5276.572448
0.0,84,5279.276882
0.0,873,5302.940659
0.0,195,5308.75865
0.0,148,5313.091094
0.0,1001,5340.545725
0.0,290,5348.70395
0.0,690,5367.939212
1.100651,778,5389.250355
0.0,747,5410.026466
0.655783,301,5421.5078
32.434782,1001,5449.033281
0.0,226,5455.710572
0.0,322,5464.637751
11.136328,549,5479.535219
0.0,1001,5506.57369
0.0,194,5512.188298
0.0,282,5520.097328
0.0,1001,5547.452485
0.0,193,5552.989562
0.0,185,5558.341614
0.0,262,5565.8168
0.0,551,5581.042436
0.0,343,5590.884954
0.0,489,5604.701823
0.0,158,5609.540247
0.0,985,5636.474705
0.0,547,5651.455741
0.0,785,5672.98622
0.0,92,5675.977319
0.0,1001,5703.370971
0.0,408,5715.196348
0.0,389,5726.495945
0.0,826,5749.939547
0.0,369,5760.425076
0.0,404,5771.775343
0.0,696,5790.546151
0.0,1001,5817.500075
0.0,778,5838.889962
0.0,455,5851.68674
0.0,297,5860.208757
0.0,1001,5887.098242
0.0,668,5905.66408
0.0,206,5911.620763
0.0,352,5921.531965
0.0,360,5931.544196
0.0,256,5938.831707
0.0,142,5943.105732
0.0,165,5948.046174
0.0,112,5951.581205
0.0,148,5956.084543
0.0,107,5959.409404
0.152415,595,5975.651097
0.0,514,5989.83873
0.0,122,5993.708603
0.0,429,6005.552053
0.0,447,6021.243552
0.0,335,6030.679325
1.663119,416,6042.351385
0.0,1001,6069.59486
0.0,227,6076.255513
0.0,1001,6103.411964
0.0,1001,6131.045261
0.0,296,6139.519691
0.0,240,6146.389371
0.0,202,6152.45802
0.0,1001,6179.555847
0.0,451,6192.222989
0.0,462,6204.99957
0.0,453,6217.752041
0.0,684,6236.449111
0.0,1001,6263.962821
0.0,648,6282.237284
0.0,348,6292.065017
0.402086,1001,6319.224391
3.194854,1001,6346.485813
1.296896,1001,6373.297832
0.0,313,6382.290536
0.0,671,6400.990048
0.25727,616,6418.131221
0.0,1001,6445.553292
0.0,318,6454.405625
0.0,1001,6481.772452
0.0,720,6501.201434
0.0,1001,6528.589767
0.0,387,6540.61026
0.0,1001,6568.491712
0.0,614,6585.462224
2.217178,978,6614.183346
0.0,742,6636.905102
0.0,571,6652.83871
0.0,1001,6680.224804
0.0,1001,6707.685879
0.0,1001,6735.045865
0.0,739,6755.434016
0.0,435,6767.48204
0.0,1001,6794.838905
0.0,1001,6822.323445
0.0,384,6832.974108
0.0,1001,6860.368404
0.0,156,6865.063392
0.0,249,6872.34804
0.0,603,6894.644277
0.0,1001,6935.213895
0.0,545,6950.346965
0.0,1001,6977.788422
0.06977,213,6983.987659
0.0,162,6988.890331
0.0,277,6996.719422
0.0,849,7020.089938
0.0,1001,7047.385458
0.0,576,7063.332573
0.0,1001,7090.284846
0.0,1001,7117.677387
0.0,256,7125.352869
0.0,492,7139.167939
0.0,312,7148.138965
0.0,418,7160.419985
0.0,277,7168.491389
0.0,622,7185.533477
0.0,109,7188.891203
0.0,1001,7219.262992
0.176992,89,7222.359713
0.0,852,7245.493776
0.0,597,7261.918738
0.0,1001,7289.165692
0.0,61,7291.289278
0.0,285,7299.588133
0.0,178,7304.824095
0.0,107,7308.197664
0.0,130,7312.172646
0.0,629,7329.617852
0.0,84,7332.373616
0.0,256,7339.79579
0.0,1001,7367.247969
0.0,180,7372.479567
0.0,58,7374.502978
0.0,417,7385.99832
0.0,555,7401.428238
0.0,84,7404.275793
0.0,675,7422.765795
0.0,113,7426.29325
0.0,185,7431.919165
0.0,103,7435.149761
0.0,167,7440.135555
0.0,144,7444.438171
0.0,1001,7471.764799
0.0,531,7486.811936
0.0,452,7499.845467
0.0,89,7502.670416
0.0,922,7528.225646
0.0,946,7554.51765
0.0,123,7558.373969
0.0,164,7563.271057
0.0,316,7572.494496
0.0,541,7587.29344
0.0,430,7599.668537
0.0,130,7603.842377
0.0,976,7630.388584
0.0,322,7639.648318
11.184183,549,7654.68212
7.559068,388,7665.309939
0.0,790,7686.590961
0.26948,768,7707.629553
18.888462,152,7712.217284
0.0,1001,7739.670016
0.0,349,7749.415007
0.0,1001,7776.870736
0.0,246,7783.967826
0.0,286,7792.103104
0.0,179,7797.491875
0.0,233,7804.346467
0.0,432,7819.788527
0.0,115,7823.477777
0.0,771,7844.621282
0.0,917,7869.608982
0.0,1001,7897.007562
0.0,463,7909.719865
0.0,667,7928.200439
0.0,301,7936.927618
0.0,261,7944.547704
0.0,426,7956.360259
