#{"t_start": 1700688289.3888495, "env_id": "None"}
r,l,t
2941.041246,1001,6.311168
228.98588,83,7.274554
2712.832112,931,12.00301
757.455616,318,13.963819
3102.08722,1001,18.90058
3374.898024,1001,23.866226
3103.91556,916,28.4579
3529.110113,1001,33.458565
3197.067552,1001,38.414616
1990.47637,738,42.202235
3399.274669,1001,47.160179
3125.970181,1001,52.074646
3388.853778,1001,80.308607
1393.465897,448,93.240024
606.037636,230,100.106666
977.206897,340,109.816739
213.154787,59,111.905152
231.175248,62,114.106272
608.48227,269,121.976232
348.150041,106,125.407058
294.128296,111,128.954579
68.383035,25,130.144399
516.075616,180,135.687575
211.646698,74,138.290475
129.807512,48,140.121521
374.924148,194,145.909043
705.532674,279,154.131061
1271.427786,717,174.429812
287.285377,101,177.748941
741.033248,285,186.213345
624.428279,217,192.746151
538.592939,159,197.674871
219.722214,64,199.941813
316.966722,73,202.411322
1164.954137,330,212.093438
565.228393,240,219.467176
523.277789,290,228.029263
255.37417,147,232.84043
1024.638291,375,243.644541
1242.347927,401,255.380163
670.96039,207,261.579587
803.525669,309,270.540294
984.764891,342,280.450708
144.374788,41,282.299768
588.253029,262,290.155837
765.044732,233,297.029461
1192.722127,368,307.840556
1066.402294,334,319.339437
1800.498191,522,337.391612
376.527755,124,343.343718
2393.672657,730,370.595406
1449.491758,457,385.258332
3062.369028,985,416.014307
304.901506,105,419.700586
306.901597,110,423.817577
957.578686,288,433.261363
618.045498,204,440.282587
151.080687,42,442.171535
989.19163,289,452.26973
1467.497854,492,469.811381
1860.885501,715,494.139528
183.987004,56,496.46778
145.717552,72,499.155202
1087.799592,363,510.295413
385.813481,122,514.443361
355.889602,111,518.229246
3095.027338,1001,548.493728
360.098467,178,555.398264
729.447316,290,566.235323
558.731263,254,574.666817
1528.036847,589,593.976415
1085.711343,410,607.13247
359.073648,181,613.200652
286.653868,117,617.211906
515.150775,203,623.664666
94.805078,27,625.019109
241.408431,79,627.874279
712.795927,399,640.161426
198.035769,106,644.125033
127.012336,50,646.060639
157.011241,59,648.299469
170.973965,102,651.800032
607.996068,324,661.941981
262.009604,117,666.037553
426.267597,163,671.558861
1031.868075,364,682.774999
195.562712,85,685.885276
705.118334,303,695.560472
2156.280973,828,720.861871
874.663906,358,731.995857
1411.154291,554,749.047008
850.908106,312,758.773612
677.236213,318,768.537146
1042.569222,381,780.93594
661.482048,227,788.079892
2208.651572,872,815.142128
155.892518,95,818.683504
1223.138108,403,833.92278
1245.314696,538,851.202373
1036.370938,310,861.19782
355.388484,104,864.853723
1345.648471,568,883.134213
489.126255,148,888.178653
500.312851,168,893.917208
460.331,114,898.75527
2625.824083,842,925.506051
924.763701,249,933.392026
705.016811,315,943.505281
244.088204,82,946.78868
747.916192,264,955.545925
1385.075356,379,969.288145
3334.577187,944,1004.375684
368.969566,104,1010.39558
1601.097769,605,1034.000566
764.054405,317,1044.426269
189.662558,67,1047.272711
953.939745,275,1056.448559
1654.816381,518,1076.508161
315.255259,99,1082.16911
270.575988,69,1085.908139
626.445502,175,1091.732602
480.458551,170,1097.586874
1066.215224,398,1112.097058
424.105562,147,1117.225251
189.029497,49,1119.353535
457.328923,136,1124.077402
1157.198327,454,1143.194827
307.203337,79,1146.352335
348.713978,110,1150.60536
452.699541,135,1155.547128
446.613719,116,1159.955904
2120.831087,703,1182.665387
236.681362,71,1185.471782
860.799829,314,1196.142489
1037.209737,290,1206.028059
1180.729879,452,1220.9045
495.103587,186,1227.215463
814.019035,266,1236.501573
238.652962,102,1240.834686
668.722096,293,1250.903732
805.722454,340,1262.377765
846.674597,269,1270.909949
902.452158,248,1279.728827
745.428109,304,1290.415284
314.814384,136,1295.061686
1103.110818,458,1310.034256
1338.863906,459,1325.78268
933.726166,339,1336.954432
582.602832,241,1344.964837
1223.711603,452,1359.898443
452.790645,134,1364.636814
1167.819004,418,1377.725004
593.426851,217,1384.67247
2159.849836,820,1408.239389
3884.668072,1001,1438.127781
3149.354287,1001,1468.308651
479.765591,248,1475.98014
602.738208,252,1484.097441
1143.836624,484,1499.342406
2782.799478,1001,1529.843621
1112.507322,458,1545.585367
2213.771913,642,1565.80858
614.955453,169,1571.496408
1419.566091,453,1586.060473
793.585021,265,1594.898888
839.359357,313,1604.926121
660.688299,377,1616.628823
237.419019,68,1619.1172
3191.530853,907,1645.678199
720.741314,226,1652.796253
805.348806,213,1659.456483
516.509354,209,1666.017952
142.602723,71,1668.708754
432.406133,140,1673.437156
178.586961,55,1675.564469
1362.218062,395,1687.335041
443.291635,168,1692.927096
629.499841,217,1699.725792
804.853409,246,1707.983382
209.258932,65,1710.647784
1286.006357,440,1724.395648
660.922722,254,1732.167885
473.008857,125,1736.336858
448.070728,166,1741.697814
2967.741465,1001,1773.862625
1093.163485,307,1785.615635
248.742647,97,1790.187424
198.821071,80,1793.246459
689.280703,237,1800.896479
271.233113,64,1803.338974
337.890828,135,1808.046387
719.009948,205,1815.304937
267.443985,161,1820.751415
344.477213,125,1824.957439
844.905421,288,1834.559036
153.583432,64,1837.200968
1260.919364,373,1849.223866
334.790794,97,1852.613801
486.298668,158,1857.6668
345.536328,112,1861.411904
373.688859,107,1865.084908
621.029486,189,1871.021289
1878.47274,553,1887.929694
609.716644,222,1894.872468
370.62374,165,1900.122612
2040.72991,574,1917.15707
3170.318974,857,1943.141569
267.589485,140,1947.882804
804.290609,183,1953.79177
147.26378,61,1956.172312
293.374308,125,1960.458852
998.180985,367,1974.854455
2765.725107,916,2003.454339
1042.859468,422,2016.897004
158.950883,70,2019.623936
1919.002984,722,2042.54647
