#{"t_start": 1701304528.6585407, "env_id": "None"}
r,l,t
1800.360774,689,6.267209
1890.186217,733,12.328036
884.71647,291,14.880244
833.513119,291,17.331691
211.109277,123,18.733942
3068.219865,1001,26.104239
1072.734771,335,28.918712
297.360138,99,30.088585
136.560483,57,31.014111
706.234563,235,33.129452
465.770372,157,34.722238
1269.545005,546,41.003448
1378.645668,478,44.714524
604.787967,213,46.629405
3355.537395,1001,54.144308
2706.406549,968,61.254364
1317.409412,585,65.786246
948.499432,345,68.655572
2706.591205,1001,78.877245
566.788944,258,81.343659
160.575708,53,82.205359
1212.590117,448,85.729975
4397.052288,1001,93.080324
570.665467,248,95.278451
385.963802,179,96.987886
1201.041112,466,100.75681
586.675794,186,102.493167
1193.423887,487,108.344523
195.704838,141,109.756749
1690.936469,724,115.222138
276.743461,140,116.649326
1872.047828,763,122.328142
404.843134,153,123.816166
1699.923193,503,127.695791
683.57349,268,129.970742
551.94678,218,131.872661
2294.788215,663,136.738654
1759.498841,479,142.651843
179.441323,50,143.491596
1161.222262,558,147.659464
2061.310992,610,152.303049
3228.763723,1001,159.676341
223.695794,94,160.994815
2378.191561,792,167.081543
1428.22393,486,170.951233
1259.882244,520,176.990087
1487.741821,459,180.501705
475.431324,253,182.654948
1438.756745,497,186.388966
1809.827648,625,191.11337
667.106861,286,193.475026
3603.286991,937,200.944504
469.979334,173,202.661913
528.161012,196,204.431183
2755.882449,1001,214.960643
324.353837,92,216.146472
1514.081547,665,221.157073
1586.300293,474,224.844213
2778.314183,887,231.473493
719.492755,320,234.07354
583.621266,239,236.145001
911.551305,414,239.471107
964.530831,380,242.613702
912.981022,419,248.059178
1497.123117,693,253.369982
358.310567,243,255.59404
557.079439,393,258.87727
1057.028415,416,262.647192
817.385833,278,265.013904
507.021966,250,267.24394
1751.428528,695,272.447027
2848.678404,791,278.307397
1746.493423,649,285.352563
902.741466,286,287.904737
672.755767,253,290.161705
2004.534542,698,295.464535
547.533431,271,297.735463
854.822589,350,300.647712
928.903143,360,303.536986
1501.987118,617,308.190549
1493.51771,648,313.118363
2978.428026,1001,322.447428
1114.941491,378,325.467821
2861.737602,979,332.682527
3045.331308,1001,340.064793
1263.517041,470,343.786845
1839.501774,882,352.338977
1377.437024,611,357.210948
2397.443557,922,363.960902
1566.805367,576,368.402025
517.722809,105,369.609795
75.970288,26,370.294964
2231.158991,749,375.840144
450.131998,179,377.569524
1125.04283,463,383.376317
1455.740123,450,386.960736
1173.09372,465,390.549152
2440.037568,1001,397.866586
857.580452,349,400.678068
2039.362004,810,406.617195
1350.570144,497,410.43303
1654.509108,697,417.777398
1733.718523,634,422.594516
1102.481452,286,425.046965
274.112873,140,426.461182
168.015613,89,427.562238
2251.867995,779,433.601092
608.734636,231,435.665571
904.614258,432,439.080442
2685.406399,1001,446.867939
3062.298862,1001,456.400495
2880.799759,1001,463.661215
1553.219667,595,468.241068
494.932017,197,470.064163
687.312886,313,472.623323
2486.510351,993,480.250938
1276.147628,432,485.763233
1330.470496,509,489.727671
1810.272047,930,496.566421
714.808541,399,499.746894
603.008159,243,501.974935
1064.94897,411,505.237214
1985.628457,835,511.77474
2733.088239,1001,521.840831
778.631498,356,524.844879
125.827143,44,525.632851
1203.623459,418,528.90813
2810.694592,1001,536.346124
868.819215,476,540.099136
2904.153862,1001,548.052866
2461.716023,1001,557.577836
107.327898,33,558.287896
1642.050323,552,562.625308
1929.176862,791,568.695078
2277.764526,1001,576.245898
1139.642181,542,580.918403
1210.074359,474,584.980559
2771.406468,1001,595.68991
1148.299225,451,599.607439
2148.887753,961,607.320832
1854.281894,747,613.570128
2118.58759,1001,624.442335
1037.258561,393,628.50847
2039.89197,866,635.895723
1109.826248,529,640.416677
885.355277,376,643.89837
2710.70322,1001,651.734429
2168.285127,1001,661.553576
2704.716169,1001,668.79023
2421.047182,907,675.623234
2453.341891,1001,683.241868
1217.24956,606,687.909425
1226.384264,512,694.008154
465.267602,156,695.665764
1273.022189,638,700.568696
1056.046586,367,703.641483
113.083718,94,704.794401
1634.398465,483,708.535505
1493.163316,705,713.882215
2390.051667,1001,721.171727
178.194923,64,722.074315
1727.629016,880,730.874734
1255.561968,604,735.472484
2554.361093,753,741.06757
1040.720507,411,744.326846
2271.517326,1001,751.878659
1176.938138,407,755.203803
644.751615,339,758.034197
989.177134,347,763.114657
2119.353013,935,770.078054
405.532839,251,772.235289
796.270141,303,774.8493
2219.846049,1001,782.052967
1986.361684,1001,789.522346
2964.969054,1001,798.877377
2450.539519,1001,806.23274
468.526381,196,808.369006
252.661285,120,809.828105
1719.612701,699,815.235649
2194.119034,1001,822.539121
1305.580583,522,826.712004
160.287094,57,827.587663
2571.437547,891,836.357236
1463.716802,702,841.699956
1401.637609,663,846.834237
639.003788,230,848.894727
101.225089,61,849.797315
1493.320781,656,854.66334
212.759665,161,856.24112
2589.984501,1001,865.763867
185.452192,52,866.606614
1956.138326,1001,874.068656
1777.378792,1001,881.687288
2321.011368,1001,889.144354
1176.44408,488,893.020992
728.463619,408,898.504373
2547.960661,903,905.246377
1598.610842,733,911.309177
2369.387556,811,917.574429
463.634444,178,919.257042
2714.619969,1001,926.805876
104.389402,46,927.614716
1762.183096,975,937.032588
908.329581,471,940.70781
2514.39313,1001,948.240674
2981.484869,908,955.289836
2232.732165,1001,962.738968
420.022494,193,966.718359
111.492055,29,967.40552
563.15425,390,970.634886
1569.508712,389,973.754542
3229.267915,1001,981.112875
1286.024854,334,983.855541
354.581467,80,984.870827
3084.130287,1001,992.744846
705.386711,215,994.691669
1761.152509,436,998.310005
1034.47642,262,1002.859805
2486.314531,1001,1010.232135
1543.555581,517,1014.360098
2203.37421,1001,1021.648658
85.06056,149,1023.133687
3125.375003,1001,1030.401263
1542.00156,411,1035.940458
2563.012533,1001,1043.248922
1129.193523,543,1047.374887
3310.479617,1001,1054.730227
1961.463437,696,1060.068949
2026.099505,533,1064.299638
1514.110633,452,1070.299706
751.228179,256,1072.610518
2023.95552,797,1078.67727
460.167985,287,1081.089821
1486.89336,1001,1088.551917
369.748792,230,1090.625372
371.844869,209,1092.494411
3154.24529,1001,1099.758999
3138.974543,1001,1109.023244
3937.383325,1001,1116.431418
1058.351939,459,1120.003908
2082.654647,669,1124.937721
3030.710255,837,1131.048301
1798.624024,1001,1140.348436
763.79138,262,1142.645292
1063.379402,703,1147.966107
1825.521744,934,1154.910543
1822.510853,611,1159.563113
3343.401321,1001,1169.144503
1816.200201,588,1174.133161
1329.711388,405,1177.531076
2846.832442,1001,1184.961245
2947.443174,1001,1192.206937
494.643496,388,1195.351505
726.143221,207,1197.279388
3047.430637,1001,1206.834923
4167.116903,1001,1214.325902
3941.545299,1001,1221.833873
2583.23069,882,1228.25773
2551.018465,1001,1237.659597
2920.796504,1001,1245.137601
3324.884836,1001,1252.427114
1760.274804,434,1256.109311
260.136749,79,1257.119607
2741.764463,1001,1264.467966
543.614096,187,1268.336664
3851.101563,1001,1275.806669
2288.428953,791,1281.622117
3656.604108,1001,1288.800952
2815.432734,1001,1296.147752
3398.931688,1001,1305.587588
3902.535091,1001,1312.829235
2576.273468,804,1318.993802
1799.196794,472,1322.725825
794.535044,313,1325.407653
3169.689273,1001,1334.943162
3048.934954,1001,1342.176838
1458.369181,493,1346.069433
1167.23837,318,1348.706417
3504.964964,1001,1356.611312
175.975628,54,1357.487969
1145.381441,303,1360.078079
2909.712901,1001,1369.690506
3175.880906,859,1376.187175
2297.63914,821,1382.256947
3611.437925,1001,1389.491612
4255.846018,1001,1399.02215
2537.775138,586,1403.521113
3454.177888,1001,1410.84656
3508.283968,1001,1418.1152
4446.175562,1001,1425.720865
3613.753005,1001,1434.929281
3315.273961,914,1441.709192
3823.990932,1001,1448.970806
1014.10642,313,1451.651636
4591.966945,1001,1458.945144
2576.99405,642,1465.889573
1330.936231,411,1469.106972
3499.729161,1001,1476.639832
2839.977453,1001,1483.859587
2772.931434,655,1489.179384
1365.733445,334,1491.895133
510.734656,150,1493.411079
130.486037,35,1494.136138
3308.111934,765,1502.347241
4031.164183,987,1509.576028
1337.943857,319,1512.268866
230.792184,65,1513.1904
3377.497453,1001,1520.663456
1213.259708,336,1523.62954
2620.571979,1001,1533.121167
2908.539099,811,1539.637779
299.182591,85,1540.683981
465.651223,351,1543.622163
4133.051417,1001,1550.94563
3269.535823,1001,1558.258038
1929.764108,469,1561.991062
3910.845202,1001,1571.457757
2717.226626,897,1578.03517
3375.322751,1001,1585.152163
4236.972597,853,1591.666674
4552.316918,1001,1601.136389
2117.734231,455,1604.738735
904.544519,218,1606.7125
669.278819,198,1608.542602
166.430162,82,1609.560887
861.699968,215,1611.455822
1796.951116,462,1615.076182
2332.645147,506,1618.901956
3723.616619,1001,1626.209862
4060.671975,931,1635.277614
602.516045,121,1636.641993
947.87862,218,1638.605724
1450.453989,320,1641.415243
1376.645089,370,1644.635637
4204.616738,1001,1651.851377
4224.775309,1001,1659.234644
1380.45795,297,1661.772857
1122.066915,399,1667.093628
4273.826909,1001,1674.660434
1347.543803,627,1679.495482
4572.150921,1001,1686.965509
1734.855514,1001,1694.665935
2377.272602,438,1700.364726
4244.152379,1001,1707.746988
3636.693303,1001,1715.157175
2339.379395,614,1720.320379
3960.93257,1001,1727.888142
1689.959017,363,1730.942972
499.612822,194,1734.970207
4306.146571,1001,1742.312009
3939.801398,1001,1749.807997
503.415765,123,1751.188335
4873.683741,1001,1758.472835
2026.277216,512,1762.437189
4241.985414,1001,1773.690111
4364.740861,1001,1783.275013
1732.313514,509,1788.496052
3843.319511,1001,1797.889935
3384.028565,1001,1809.892011
3918.59488,1001,1819.173191
2973.998489,645,1825.311787
877.224604,196,1827.620613
850.347428,748,1834.677745
2308.649278,700,1841.352896
2482.147996,603,1847.119473
4620.39658,1001,1858.222782
1964.621493,395,1861.348461
676.633185,161,1862.995089
4964.005836,1001,1870.286605
5150.889752,1001,1877.936153
1586.824695,591,1882.522887
950.581157,526,1888.926801
5256.729828,1001,1896.470674
1786.983711,466,1900.236641
268.648129,74,1901.396512
3446.045124,693,1906.736295
3447.073768,1001,1914.260182
