#{"t_start": 1701117361.2897844, "env_id": "None"}
r,l,t
3082.895823,1001,6.165559
3842.907618,1001,11.795545
3442.888404,1001,17.507777
3866.915651,1001,23.98361
3096.440247,1001,30.445415
3123.544216,1001,37.308138
3126.306651,1001,44.809046
3230.970641,1001,53.754165
431.200621,218,55.855546
2808.648296,1001,64.790662
2954.147543,1001,79.364696
3224.286148,1001,111.747326
2244.909142,680,133.632112
808.58547,268,142.358349
2181.841479,463,156.329524
176.828174,52,158.341768
721.950029,292,167.665978
683.636486,296,177.197475
308.832324,146,181.881976
305.877705,108,185.362738
333.741616,154,190.131811
323.103712,100,193.467457
229.938901,119,197.317767
706.29907,248,204.877074
743.367875,258,212.64858
1750.586573,795,234.838527
312.830926,153,239.638729
95.521138,49,241.490465
1417.459084,491,255.45417
313.135487,159,260.359055
925.976857,339,270.308205
221.852147,58,272.428399
802.272324,203,278.551772
1996.538467,437,290.975736
909.792714,360,301.43461
287.282806,72,303.865248
526.929439,224,310.409785
2636.756218,659,328.96418
2348.619747,614,346.307912
1419.915319,400,357.596779
461.28999,147,362.190157
283.6038,158,367.050327
1039.239879,315,376.108276
575.174699,160,381.041111
372.881176,177,386.451647
430.901098,99,389.668264
867.081936,197,395.637331
300.344636,115,399.307092
2182.661988,480,412.935088
2779.471969,632,430.741498
296.091989,116,434.391199
367.036316,127,438.278541
377.059987,106,441.879621
218.768897,74,444.714041
231.376647,98,447.962142
163.739311,63,450.174244
1739.412816,378,460.847834
129.141402,62,463.038879
719.407771,199,468.884871
448.550216,106,472.306438
1876.369421,389,483.685576
244.067107,91,486.750793
636.799661,150,491.407418
172.484605,59,493.46629
1841.54883,462,509.48253
127.922112,42,511.220877
840.031624,256,518.921272
597.510483,275,526.978727
552.261972,210,533.238278
2240.001776,908,558.590105
608.693968,206,564.839431
251.44345,100,567.99599
330.409747,137,572.313756
704.599439,250,579.539467
3286.387231,1001,607.396051
1057.34249,407,618.938452
184.554169,56,621.034774
104.882463,41,622.656281
561.932725,309,631.675655
527.748233,125,635.587384
3549.808945,793,658.32941
274.662973,101,661.817086
854.698824,213,668.200562
450.660046,123,672.090162
4454.438891,1001,700.338674
1412.366286,392,711.495943
2677.33184,474,725.121971
4116.529158,1001,752.987915
1054.109212,318,762.216979
2882.715567,711,782.35627
2389.250443,642,800.481483
1106.781944,419,812.522358
729.944549,344,822.341107
591.952755,328,831.863688
1199.365451,713,851.6947
695.169827,258,859.201062
1712.661909,500,873.404958
2186.842258,532,888.359007
2392.901615,627,905.898677
1083.452887,273,913.68811
1141.064721,305,922.960461
125.211133,36,924.485428
426.564625,182,929.995401
545.83474,238,936.934818
4563.702342,1001,964.466358
742.182342,204,970.598202
597.083716,285,978.890436
173.502706,58,981.046478
366.903648,247,988.368904
219.710194,158,993.215036
2581.037606,596,1010.064177
1471.893867,461,1023.095339
351.717851,155,1027.777096
638.251871,241,1034.769858
1103.420342,356,1045.056296
1339.297977,478,1058.441506
379.958111,109,1061.967026
227.395745,89,1064.907915
1226.233032,415,1076.542181
332.747421,130,1080.70956
452.320043,161,1085.558374
1426.335631,553,1101.039158
572.534741,144,1105.45073
784.987307,272,1113.298294
617.122496,154,1118.005776
830.023469,335,1127.626668
2113.47476,529,1142.356105
5046.955975,1001,1169.977105
4660.924497,1001,1197.850338
1344.762913,372,1208.458927
443.319575,148,1212.930144
4771.980439,1001,1240.652567
2553.729665,529,1255.491967
5554.41791,1001,1283.345608
721.115568,136,1287.573514
1281.409081,270,1295.329923
3417.163231,673,1316.723757
292.050029,107,1321.585794
2131.915841,553,1342.027132
3958.952711,1001,1375.221363
2608.485417,659,1394.370201
148.125878,40,1395.992824
2635.683445,687,1414.95546
1569.787669,414,1426.47292
121.550286,44,1428.194318
490.064264,107,1431.672016
3041.133954,729,1451.991321
424.660664,131,1456.053522
1097.190807,371,1466.399339
1494.079726,349,1476.281913
260.325134,123,1480.015925
934.018512,300,1488.413412
639.182883,175,1493.563888
1108.932539,373,1504.608881
333.823245,101,1507.785169
494.083974,185,1513.199414
2254.205578,650,1531.165593
462.156249,135,1535.247818
970.244791,321,1544.399358
121.165385,68,1546.789112
157.078123,47,1548.561922
998.523369,421,1560.699274
1046.942859,215,1566.867966
529.453866,121,1570.64608
1000.954283,408,1582.038714
685.73769,317,1591.023695
1584.145362,327,1600.290966
5694.687192,1001,1627.459129
