#{"t_start": 1700824417.6216314, "env_id": "None"}
r,l,t
2292.166086,1001,6.014329
2323.699428,1001,11.445223
216.364571,144,12.636039
2768.81143,1001,18.081805
125.39938,56,18.852744
2281.141955,1001,24.273451
1071.828385,428,26.923862
1971.167852,1001,32.374286
608.814139,245,34.071745
423.833497,185,35.46026
724.698079,354,37.680323
2331.426838,1001,43.129925
2896.675239,1001,48.642375
142.027806,91,49.588808
2886.857189,1001,55.048694
2388.342951,1001,75.047333
1111.840838,558,94.048527
1160.261786,688,117.237145
150.769678,65,119.993775
378.415699,373,132.752765
177.898341,170,138.968352
165.637215,91,142.504062
370.071729,198,149.7936
667.29613,299,160.450678
236.883476,90,163.977247
121.479284,89,167.525758
119.904954,45,169.562311
424.279923,168,175.80782
394.490898,189,182.7666
1105.920419,406,196.880327
292.417976,150,202.418867
178.624323,103,206.32685
674.767333,440,221.271924
620.593621,204,228.723319
237.856158,128,233.655448
58.210932,42,235.636152
472.669587,219,243.386947
264.611347,125,248.004907
160.6415,60,250.796909
402.962279,234,259.305698
368.841653,200,266.588614
204.083455,95,270.351923
147.135056,65,273.216492
1035.910827,464,289.365162
673.092818,174,295.886162
410.671934,197,303.107048
216.128477,240,311.598406
218.031223,77,314.840083
171.777455,106,319.079306
190.103476,131,323.895428
232.931365,218,331.638113
131.282651,98,335.454134
388.670412,266,344.936547
111.667754,143,350.212706
999.580761,697,373.856867
546.71812,344,386.031585
451.426609,244,394.750517
402.159207,362,407.39398
451.002814,282,417.792737
490.252942,224,426.39573
266.925851,172,432.704099
1299.832215,521,450.852522
1031.785103,347,462.892921
97.624254,64,465.577741
997.312393,389,480.518101
669.957579,396,496.261261
172.140389,145,501.70302
298.361031,175,508.051591
287.969881,118,512.577488
729.509687,575,532.25894
742.529097,557,551.135241
398.609478,249,559.985573
669.261835,402,573.962753
567.462583,184,580.603122
827.484403,334,592.206228
88.218826,37,593.998434
152.221359,62,596.597485
609.206982,226,604.629633
131.040057,158,610.376265
179.896777,193,617.317021
68.081672,44,619.333828
293.966091,155,624.978132
337.575204,258,634.098932
1657.436896,568,653.685545
1740.890952,666,676.284103
379.978305,195,683.254676
353.833869,115,687.636309
412.209364,127,692.423944
361.354319,100,696.143994
299.374083,79,699.278975
383.091214,121,703.813052
839.049501,376,717.03666
1094.070273,513,735.164139
289.324032,178,741.759473
233.920463,102,745.724099
250.749667,139,750.852553
168.255915,155,756.511956
231.961195,208,763.975218
266.228179,170,770.356437
715.674788,382,783.685464
615.749374,284,793.917287
416.473176,202,801.263679
122.793173,94,805.02933
324.717504,166,811.073384
1010.50524,545,829.9164
265.222818,150,835.522842
143.499121,118,840.016298
203.526713,183,846.579983
381.27577,188,853.397324
218.59134,110,857.662881
873.84159,390,870.980959
697.003617,356,883.169945
1094.142749,486,899.916661
429.538743,167,906.179911
196.07966,117,910.7088
548.471262,383,924.005325
161.045644,139,929.199658
257.173446,181,935.752457
561.090334,376,948.774318
194.996612,103,952.724988
262.670142,200,960.057271
182.425765,99,963.940256
179.577024,114,968.23178
198.06545,104,972.171243
340.26992,248,981.117666
46.014306,72,984.085943
1545.761476,684,1007.228957
294.751141,152,1012.887408
169.156289,174,1019.18987
1456.507806,748,1044.673114
1710.963854,757,1069.85791
296.937022,144,1075.495808
960.245615,417,1092.945059
608.064153,303,1103.631749
194.283994,92,1107.307888
222.186492,120,1111.87193
127.363459,126,1116.734313
1292.11551,611,1137.686655
572.978336,308,1148.42844
895.631649,472,1164.76807
1705.42652,1001,1198.33941
1558.356297,1001,1232.260963
1008.72747,538,1250.385375
1224.612436,568,1269.705815
431.706129,294,1280.106557
521.076249,295,1290.547987
222.341211,81,1293.846577
156.323985,114,1298.219921
190.638438,195,1305.230313
1177.24062,575,1324.876183
321.886449,174,1331.194252
245.595132,290,1341.253641
140.564591,133,1346.179469
2911.271029,1001,1380.166755
232.688378,228,1388.242129
2026.500194,1001,1421.940255
709.82999,242,1430.41958
505.99456,425,1444.903774
189.902046,144,1450.186859
294.521562,243,1458.894248
592.471025,400,1472.713726
185.546936,160,1478.619685
442.808225,255,1487.686596
845.784389,454,1503.578434
890.59537,622,1524.554486
572.324831,364,1536.963506
476.962307,199,1544.009004
639.780346,347,1556.539119
324.852266,158,1562.478234
1642.984807,1001,1596.362909
238.009966,125,1601.043258
129.369499,68,1603.725087
302.815306,313,1614.54272
110.989085,47,1616.596624
348.415478,180,1623.106691
323.178226,192,1629.95371
187.905495,115,1634.272162
244.997801,130,1639.059389
754.449748,477,1655.048125
127.200178,115,1659.416586
440.011222,268,1668.964103
322.765696,247,1679.241828
128.950759,152,1686.943704
127.487028,163,1692.87414
802.542363,432,1707.739861
203.911243,130,1712.598866
786.119292,336,1723.887678
1756.709703,1001,1757.595325
757.911782,488,1773.784718
711.679906,464,1789.591943
319.239464,295,1799.95172
284.30241,242,1808.659795
469.753639,298,1819.064435
340.415715,299,1829.304699
190.623746,140,1834.513336
826.237314,460,1850.146927
611.604438,411,1864.173066
