#{"t_start": 1700847574.9699335, "env_id": "None"}
r,l,t
3015.998523,1001,5.353078
930.64492,439,7.772266
2187.88878,1001,12.74896
2033.317631,1001,17.738166
2491.280919,1001,22.712101
2161.108969,1001,27.678511
2661.840885,1001,32.608289
2318.135984,1001,37.543541
1954.56139,1001,42.453055
1867.025278,1001,47.55704
1916.072467,1001,63.05865
2120.708788,965,89.677909
1063.006241,427,101.868682
483.004165,311,111.04442
206.421713,94,114.730546
276.502652,180,121.385752
800.043751,298,130.339798
296.411831,274,138.672719
112.994521,63,140.919719
244.645333,72,143.410245
1207.470152,496,157.73516
139.002739,80,160.462867
408.683032,251,167.815831
54.057497,25,168.997953
244.369293,159,173.874995
202.515116,215,180.320392
990.453409,637,198.11633
412.736671,183,203.742304
138.115364,174,209.037149
1372.595524,660,227.501829
104.697003,127,231.490165
208.99234,133,235.712868
267.724859,124,239.783988
391.889885,453,252.512933
258.038734,132,256.719706
123.775053,113,260.350996
727.561503,435,272.677568
296.712191,274,280.8017
132.887764,49,282.624326
161.416549,133,286.806108
126.551232,52,288.696905
99.767265,52,290.629737
716.141037,333,300.20817
128.597499,70,302.620733
579.905943,533,318.022002
565.62044,424,330.001186
1119.991691,600,346.948623
443.037852,196,352.724572
484.721458,327,362.206215
450.311143,330,371.779277
51.37892,29,373.110325
501.198489,363,383.56867
453.043898,263,391.223923
879.132211,446,403.916588
812.25657,416,415.618075
570.893273,469,428.859778
580.094568,398,440.075774
290.859151,214,446.344191
298.773377,264,453.992527
735.016744,416,465.736717
1751.798977,1001,493.070633
419.224423,265,500.678401
1113.337145,537,515.997676
403.876845,237,523.327264
81.998091,79,525.992218
815.480004,482,539.61968
315.573582,291,548.328199
614.537565,469,561.450874
165.377984,165,566.396223
1449.362109,1001,594.216934
192.681044,231,600.965888
218.707959,139,605.574878
240.375075,195,611.531632
234.125638,348,621.491667
770.30781,734,642.144623
1168.29689,1001,669.894607
795.250917,503,684.047952
131.899101,180,689.372712
518.923919,481,702.776317
543.076316,361,713.64823
98.446431,150,719.689086
106.338913,160,725.904466
197.526646,216,732.292382
477.876087,334,742.218533
248.575992,369,752.896278
296.325452,339,762.640088
361.644541,358,772.944035
403.892879,294,781.453998
242.936675,248,788.563366
395.543656,538,803.633838
699.935583,556,819.238366
240.039437,240,826.120961
145.642735,134,830.235157
176.271427,102,833.536274
94.661452,136,837.753971
269.077425,150,842.404846
402.340351,207,848.494815
529.439129,360,858.704155
130.702102,210,864.886721
975.428582,794,887.666877
310.411983,335,897.269897
227.698197,236,904.310951
646.619869,485,917.820536
160.775383,184,923.238334
86.972257,124,927.216891
891.281543,588,943.831484
1332.42888,789,965.866567
273.43342,245,972.954098
77.5109,102,976.210205
161.60024,103,979.484418
1202.997654,986,1006.428385
1234.75291,762,1027.407769
129.091229,157,1032.162067
107.622846,106,1035.50812
490.27753,448,1048.292315
203.502987,86,1051.113183
1454.371952,768,1072.582654
1047.612624,620,1089.70447
642.751389,544,1105.044621
141.718423,81,1107.796428
282.331444,239,1114.758969
843.4125,365,1125.138744
595.463789,223,1131.663217
117.145411,48,1133.48071
453.234252,258,1141.117417
179.671969,149,1145.583196
462.986806,511,1159.810018
42.155095,37,1161.342616
531.807786,452,1174.076401
219.35728,232,1181.026883
271.862737,194,1186.953106
298.761652,185,1192.527319
509.735617,196,1198.446275
53.057668,33,1199.820312
51.708806,110,1203.185087
286.118358,131,1207.221836
218.607684,203,1213.148796
79.018881,34,1214.607733
1315.567681,1001,1241.600403
75.499342,67,1243.888152
308.787989,157,1248.586911
79.595416,81,1251.30097
122.547322,120,1255.003644
249.041014,279,1262.951457
779.265235,879,1287.75755
556.264431,675,1306.54917
47.969012,39,1308.075354
41.226237,39,1309.609871
468.009339,509,1327.314561
971.713047,1001,1355.137959
477.921788,547,1370.469356
28.742615,28,1371.731322
16.330073,58,1373.794805
37.576693,68,1376.129567
21.810739,28,1377.359622
118.1141,188,1383.048132
175.001145,248,1390.304782
36.671707,104,1393.579068
47.099661,48,1395.592167
765.269612,761,1416.866
241.151853,484,1430.74408
143.796139,265,1438.398609
86.163398,140,1442.662207
104.053966,179,1447.974155
82.746271,117,1451.626303
43.867401,150,1456.105395
56.024621,120,1459.890871
926.816098,601,1476.822624
144.107993,163,1481.84816
74.537801,148,1486.254781
161.631371,278,1494.343899
162.001378,306,1502.924014
207.512154,359,1513.649544
35.403971,133,1517.841932
62.146132,109,1521.345573
72.940767,114,1524.974063
362.489921,733,1544.922044
146.582574,112,1548.567246
270.857997,334,1557.955687
86.84483,125,1561.763514
22.176986,31,1563.120994
824.202471,617,1580.365941
51.944893,59,1582.518153
75.700955,71,1584.980975
234.430826,147,1589.411294
628.283477,767,1610.618631
39.259761,51,1612.485219
217.597366,213,1618.664715
254.068113,381,1629.447888
87.225673,41,1631.042286
77.981566,49,1632.862152
102.947661,54,1634.84884
73.428119,59,1636.952428
80.628246,109,1640.335499
227.741226,469,1653.555339
552.532641,674,1672.006283
110.988922,275,1679.975258
718.217353,616,1697.072003
381.953102,373,1707.617174
806.494972,717,1727.573673
39.889035,115,1731.202919
507.55514,554,1746.526919
75.260855,199,1752.318436
401.238936,548,1767.486066
172.135399,321,1776.634509
54.432281,52,1778.559373
213.712201,275,1786.453514
500.787357,336,1796.274413
472.114127,893,1823.189665
134.165292,339,1832.732259
36.547333,36,1834.221679
66.235557,81,1836.982133
123.421167,150,1841.573551
27.36112,32,1843.018863
558.013614,556,1858.885951
391.32192,732,1879.100885
74.322279,59,1881.199274
92.335524,144,1885.662881
667.343181,488,1899.196507
328.6367,335,1908.806683
105.918091,116,1912.735685
252.662756,230,1921.948929
32.304178,106,1925.849499
213.036807,344,1935.762903
272.363204,220,1942.516121
233.929936,375,1953.351153
258.995601,401,1964.595705
269.969035,403,1975.925166
435.191281,481,1989.464735
256.040216,487,2003.075495
197.53611,189,2008.630844
327.485784,349,2018.359366
17.146013,32,2019.699204
221.873284,232,2026.511983
24.862646,66,2028.754986
480.454584,940,2054.816557
705.912214,794,2078.883844
161.572132,304,2089.411342
186.815958,368,2102.122367
390.410924,482,2119.210682
107.923584,87,2124.354925
344.837464,256,2134.310735
36.409479,118,2138.281163
136.681905,103,2141.670254
145.026635,211,2148.771159
54.917838,108,2153.449629
1181.097959,822,2182.087333
