#{"t_start": 1700841838.9297206, "env_id": "None"}
r,l,t
599.690955,308,2.254533
769.162488,435,4.67686
2208.960187,1001,9.632587
3001.206346,1001,14.608114
2260.755786,1001,19.576725
2520.146668,1001,24.572669
1886.688442,1001,29.506767
2217.179129,1001,34.483531
2200.337357,1001,39.402321
2358.46061,1001,44.319967
2217.384771,1001,49.25049
1973.325688,1001,74.173856
1092.423818,716,104.380098
295.938249,219,115.102356
946.728037,450,136.418358
131.672638,59,139.685865
317.505957,161,147.623655
293.67748,247,158.557455
433.835042,166,167.084686
480.722682,221,178.194984
312.858398,162,186.267426
99.212766,66,189.472886
205.367862,61,192.572634
98.99863,90,196.930024
87.952845,95,200.679972
62.970657,26,202.067265
29.178033,31,203.607144
140.189878,51,205.812256
617.150648,384,218.713756
231.06398,149,224.261919
160.843656,115,228.522525
145.635357,154,234.08765
236.121238,102,238.080969
133.073938,69,240.884478
312.67594,176,247.378119
330.711311,176,253.67232
112.724383,73,256.742112
1389.012309,559,275.336848
440.288954,224,283.054216
300.956961,215,290.591067
824.23779,388,303.740911
464.119212,212,311.298705
2051.154627,1001,343.960391
152.8414,117,348.452381
1077.356377,506,365.499799
1953.842665,1001,398.904552
396.635233,430,413.444979
187.867666,197,420.280701
365.960592,252,428.968466
248.650472,240,437.336168
126.13236,123,441.888342
523.224588,495,461.981632
512.382682,652,480.785374
363.267555,359,491.062723
252.321809,225,498.157677
407.24891,346,507.969719
148.497062,188,513.77491
176.415295,136,518.020588
339.871321,475,531.60404
58.992658,48,533.392188
229.953928,193,539.157131
1035.201707,1001,566.760333
519.874516,342,576.677236
727.66872,430,588.938459
94.764764,27,590.21418
403.461736,255,597.564999
170.145775,179,602.884174
139.955734,148,607.535375
89.608866,37,609.0943
373.819792,146,613.628994
671.659946,362,623.799277
1378.244039,1001,651.930833
1700.73363,840,674.994963
428.973307,517,689.590981
318.001755,245,696.79364
498.813886,187,702.336729
292.140086,159,707.220902
796.532944,599,723.953246
1661.518191,705,743.900114
759.142569,315,753.244322
268.737679,158,758.132102
264.201193,120,761.956347
356.764837,172,767.086505
812.487616,296,775.513812
1451.776692,620,792.948852
260.465269,90,795.966434
220.37193,73,798.577566
576.2618,180,803.938109
498.72259,242,810.974694
832.467352,395,822.179789
536.958921,257,829.705151
221.650717,123,833.515909
267.632322,144,837.886525
759.865786,434,850.105959
410.090459,190,855.887784
70.49139,36,857.360403
74.034388,47,859.150197
975.406453,567,874.989093
51.142313,53,876.955012
131.371942,79,879.619589
196.112151,202,885.645314
67.211213,54,887.647957
177.521429,143,892.097633
634.23093,438,904.788722
757.373317,561,920.521627
127.672116,93,923.422606
58.462731,45,925.121117
532.169345,396,936.38629
532.244368,510,950.788047
144.771995,109,954.299652
80.461132,48,956.160687
252.007454,229,962.99876
766.821371,985,989.975224
392.494809,372,1000.398527
567.926221,841,1023.58258
213.051011,188,1029.289321
926.010949,832,1053.576805
152.840698,204,1061.896084
206.701247,240,1069.100829
450.469588,590,1085.555974
76.665983,95,1088.76802
86.086736,57,1090.868661
84.436152,98,1093.993663
58.153447,55,1096.011151
62.562398,53,1098.024163
197.54901,264,1105.779703
191.736664,167,1110.92233
220.912507,250,1118.131087
70.957775,49,1119.952636
46.247181,35,1121.418717
214.766566,211,1127.632115
116.695015,175,1132.911572
185.685478,137,1137.166414
644.332133,1001,1164.698924
929.198635,1001,1192.278988
166.103495,200,1198.264042
360.429786,285,1206.559204
129.551875,70,1208.933884
157.329938,202,1214.882046
248.727839,164,1219.845705
219.786403,243,1226.895293
71.711457,107,1230.2267
732.056245,438,1242.538782
275.582733,156,1247.206928
134.131587,176,1252.438999
597.83289,728,1272.59355
92.236376,104,1275.879763
123.883992,165,1280.92747
123.426395,130,1286.261042
111.887384,100,1290.0738
90.463103,70,1292.716083
253.884512,220,1300.57372
51.151553,77,1303.626585
237.891528,316,1315.77915
80.237962,83,1319.969284
29.239341,60,1323.438984
70.18726,119,1329.429965
126.377476,114,1335.209508
89.254351,96,1339.959805
34.22042,41,1342.569369
66.74486,92,1347.407321
94.696463,75,1352.173573
436.301999,422,1375.159105
80.200536,60,1379.406746
48.346209,22,1381.614842
974.014786,651,1403.868397
958.302685,608,1427.487351
1839.482357,1001,1465.283452
1228.415188,1001,1498.823634
159.763597,246,1508.245135
230.875648,97,1512.101836
83.436759,161,1517.579154
198.807273,159,1522.854067
347.569748,353,1534.399328
792.269401,800,1560.977273
274.156742,171,1567.327297
291.139882,208,1574.975506
139.942824,199,1582.277022
234.303438,297,1591.60709
332.970698,534,1609.444864
341.895112,431,1624.194694
353.308143,360,1636.298527
441.745853,643,1659.090926
245.808416,423,1671.533922
85.517659,279,1679.708749
220.293013,469,1693.07981
232.837502,479,1706.751611
314.757524,639,1724.527587
140.341757,253,1731.804853
394.255338,211,1738.06711
232.791509,341,1747.780184
220.03336,391,1759.409796
184.81631,542,1774.280723
110.696983,240,1781.175189
52.547895,103,1784.375374
103.042359,107,1787.739848
232.131004,431,1799.871104
353.900298,232,1806.620727
607.530975,496,1820.245139
475.047504,468,1833.169843
541.186229,536,1847.938138
84.897465,47,1849.812984
35.725007,62,1852.049567
43.183605,57,1854.03845
141.447627,98,1857.178683
383.585223,365,1867.467976
148.921428,387,1878.344404
36.282748,43,1879.974312
298.038251,530,1894.953327
100.641514,105,1898.261315
95.350425,107,1901.589505
41.283757,62,1903.751909
113.905118,123,1907.517766
534.869002,643,1925.278568
209.485342,223,1931.754251
148.902373,336,1941.51218
129.15855,122,1945.500517
139.468617,217,1951.927337
100.704375,146,1956.396162
33.568719,112,1960.042901
282.482693,717,1979.297744
191.818417,458,1991.85226
122.059105,186,1997.839751
524.491923,381,2008.410555
306.970028,181,2013.831134
154.357175,73,2016.322765
257.98547,315,2025.30084
81.964455,65,2027.541105
109.571189,60,2029.615441
101.393483,97,2032.745641
664.725972,280,2040.737227
251.40275,134,2044.71486
64.666155,62,2046.907701
396.518867,404,2058.26235
44.749176,58,2060.26599
73.13495,87,2063.077035
358.05025,299,2071.536308
123.186762,131,2075.719867
71.011161,60,2077.777542
141.837961,124,2081.532478
178.837035,222,2088.080679
183.226684,250,2095.153377
125.875298,102,2098.355656
153.529497,122,2102.127831
353.507827,395,2113.141756
112.81017,297,2121.68066
55.309028,52,2123.529678
168.829109,159,2128.830647
423.760102,431,2141.096183
141.151714,231,2147.649672
211.400134,100,2150.947625
24.434771,23,2152.07766
79.44396,121,2155.891942
142.23837,96,2159.114578
76.067906,48,2160.992561
49.272213,46,2162.779916
329.748726,283,2170.903247
819.994686,832,2194.004083
297.267852,272,2202.010614
70.87448,55,2204.02521
121.734884,87,2206.872186
178.211027,431,2218.968544
114.37576,70,2221.43274
127.748812,227,2228.017296
97.158024,66,2230.390573
129.127574,121,2234.097267
585.623279,354,2244.113588
558.573294,455,2259.840442
95.800629,309,2269.039851
123.176633,159,2273.799084
213.386046,157,2278.629143
199.846244,160,2283.459198
69.680628,79,2286.13446
196.277087,196,2291.855947
97.455288,65,2294.063512
33.781071,36,2295.526509
336.6986,209,2301.705678
127.427992,98,2304.788274
180.415926,270,2312.595107
2191.395273,1001,2339.865612
39.547438,47,2341.659358
226.520169,230,2348.29776
1959.891054,1001,2375.700518
2067.499829,1001,2403.309162
336.20211,192,2408.879003
566.920496,284,2416.772269
551.826807,417,2428.359129
1460.991147,1001,2455.993236
1080.704184,788,2479.767447
1477.202258,872,2516.146488
29.7995,84,2520.550743
1235.018294,894,2564.108422
1071.118959,868,2593.344063
527.987016,995,2621.374072
31.55245,322,2630.401059
639.888507,1001,2658.294208
548.192718,652,2676.434948
338.598645,510,2690.504525
508.21267,1001,2723.536625
144.889494,268,2735.838475
241.328525,754,2772.375854
42.513864,148,2776.971864
25.263208,154,2781.715181
92.85887,320,2790.973654
14.098307,57,2793.076466
4.852205,70,2795.489549
29.137278,82,2798.186712
188.847765,1001,2825.81817
59.997627,54,2827.781592
42.218136,104,2831.073782
148.778158,1001,2862.163076
48.716388,300,2870.833847
23.121373,109,2874.299809
26.712476,37,2875.840225
56.988479,171,2880.839599
131.018848,486,2894.459189
245.400953,910,2919.200355
205.111777,786,2940.712819
185.167317,455,2953.405801
